District,Sub-District,Estate,Link
Central and Western,Kennedy Town,(Kennedy Town) Hoi Tao Bu...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Kennedy-Town/building-group(Kennedy%20Town)%20Hoi%20Tao%20Building%20%7C%20Kin%20Yick%20Mansion%20%7C%20Yue%20Yee%20Mansion%20%7C%20Mau%20Wah%20Mansion%20%7C%20Wing%20Tai%20Mansion%20%7C%20Po%20Shu%20Mansion%20%7C%20Tse%20Land%20Mansion%20(Belcher's%20Street%20%7C%20Sands%20Street%201960's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=CW0071
Central and Western,Kennedy Town,(Kennedy Town) Yick Fung ...,"https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Kennedy-Town/building-group(Kennedy%20Town)%20Yick%20Fung%20Garden%20%7C%20Lung%20Cheung%20Garden%20%7C%20Kennedy%20Town%20Building%20%7C%20Kennedy%20Town%20Centre%20(Praya,%20Kennedy%20Town%201990's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=CW0072"
Central and Western,Kennedy Town,(Kennedy Town) 1950-1970'...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Kennedy-Town/building-group(Kennedy%20Town)%201950-1970's%20private%20residential%20buildings%20with%20less%20than%208%20storeys?field=t_pop&sort=default&detailcode=CW0073
Central and Western,Kennedy Town,(Kennedy Town) Sands Stre...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Kennedy-Town/building-group(Kennedy%20Town)%20Sands%20Street%20%7C%20Li%20Po%20Lung%20Path%20%7C%20Ching%20Lin%20Terrace%201990-2000's%20private%20residential%20buildings%20with%20more%20than%209%20storeys?field=t_pop&sort=default&detailcode=CW0074
Central and Western,Kennedy Town,(Kennedy Town) Kwun Lung ...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Kennedy-Town/building-group(Kennedy%20Town)%20Kwun%20Lung%20Lau%20(Lung%20Wah%20Street%201960's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=CW0075
Central and Western,Kennedy Town,(Kennedy Town) Kwun Lung ...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Kennedy-Town/building-group(Kennedy%20Town)%20Kwun%20Lung%20Lau%20(Lung%20Wah%20Street%202000's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=CW0076
Central and Western,Kennedy Town,(Kennedy Town) Smithfield...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Kennedy-Town/building-group(Kennedy%20Town)%20Smithfield%20Terrace%20(Smithfield%201980's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=CW0077
Central and Western,Kennedy Town,(Kennedy Town) Markfield ...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Kennedy-Town/building-group(Kennedy%20Town)%20Markfield%20Building%20%7C%20Man%20Kwong%20Court%20%7C%20Wai%20Wah%20Court%20%7C%20Tresend%20Garden%20(Smithfield%201990's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=CW0078
Central and Western,Kennedy Town,(Kennedy Town) Harbour Vi...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Kennedy-Town/building-group(Kennedy%20Town)%20Harbour%20View%20Garden%20(Catchick%20Street%201990's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=CW0080
Central and Western,Kennedy Town,(Kennedy Town) Cayman Ris...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Kennedy-Town/building-group(Kennedy%20Town)%20Cayman%20Rise%20(Ka%20Wai%20Man%20Road%202000's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=CW0081
Central and Western,Kennedy Town,(Kennedy Town) Centenary ...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Kennedy-Town/building-group(Kennedy%20Town)%20Centenary%20Mansion%20(Victoria%20Road%20-%20Kennedy%20Town%20Section%201980-1990's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=CW0082
Central and Western,Kennedy Town,(Kennedy Town) Luen Wai A...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Kennedy-Town/building-group(Kennedy%20Town)%20Luen%20Wai%20Apartments%20%7C%20Luen%20Gay%20Apartments%20%7C%20Luen%20Hong%20Apartments%20%7C%20Luen%20Yau%20Apartments%20(Belcher's%20Street%201970's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=CW0083
Central and Western,Kennedy Town,(Kennedy Town) Smithfield...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Kennedy-Town/building-group(Kennedy%20Town)%20Smithfield%20Court%20(Smithfield%201980's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=CW0084
Central and Western,Kennedy Town,(Kennedy Town) Luen On Ap...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Kennedy-Town/building-group(Kennedy%20Town)%20Luen%20On%20Apartments%20%7C%20Luen%20Fat%20Apartments%20%7C%20Luen%20Hing%20Apartments%20%7C%20Luen%20Tak%20Apartments%20(Smithfield%201960's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=CW0085
Central and Western,Kennedy Town,(Kennedy Town) Smith Cour...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Kennedy-Town/building-group(Kennedy%20Town)%20Smith%20Court%20%7C%20Po%20Teck%20Mansion%20%7C%20Wah%20Fai%20House%20%7C%20Mei%20Wah%20Mansion%20%7C%20Smithfield%20Garden%20%7C%20Pokfield%20Garden%20%7C%20Poksmith%20Villa%20(Smithfield%20%7C%20Pokfield%20Road%201970-1980's)?field=t_pop&sort=default&detailcode=CW0086
Central and Western,Kennedy Town,(Kennedy Town) University...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Kennedy-Town/building-group(Kennedy%20Town)%20University%20Heights%20%7C%2018%20Pokfield%20Road%20(Pokfield%20Road%201990's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=CW0087
Central and Western,Kennedy Town,(Kennedy Town) Sands Stre...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Kennedy-Town/building-group(Kennedy%20Town)%20Sands%20Street%20%7C%20Li%20Po%20Lung%20Path%201970-1980's%20private%20residential%20buildings?field=t_pop&sort=default&detailcode=CW0088
Central and Western,Kennedy Town,(Kennedy Town) Belcher Co...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Kennedy-Town/building-group(Kennedy%20Town)%20Belcher%20Court%20%7C%20Joyful%20Building%20(Sai%20Cheung%20Street%20%7C%20Belcher's%20Street%201980's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=CW0089
Central and Western,Kennedy Town,(Kennedy Town) Sai Wan Es...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Kennedy-Town/building-group(Kennedy%20Town)%20Sai%20Wan%20Estate%20(Ka%20Wai%20Man%20Road%201950's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=CW0090
Central and Western,Kennedy Town,(Kennedy Town / Sai Ying ...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Kennedy-Town/building-group(Kennedy%20Town%20%7C%20Sai%20Ying%20Pun%20%7C%20Shek%20Tong%20Tsui)%20other%20buildings?field=t_pop&sort=default&detailcode=CW0142
Central and Western,Kennedy Town,(Kennedy Town) Treasure C...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Kennedy-Town/building-group(Kennedy%20Town)%20Treasure%20Court%20%7C%20Leader%20House%20%7C%20Shun%20Hing%20Building%20%7C%20Kam%20Hing%20Building%20%7C%20Tai%20Hong%20Building%20%7C%20Cheong%20Yue%20Mansion%20%7C%20Fook%20On%20Mansion%20%7C%20Tai%20Sang%20Building%20(East%20of%20Smithfield%201980's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=CW0144
Central and Western,Kennedy Town,(Kennedy Town) Chester Co...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Kennedy-Town/building-group(Kennedy%20Town)%20Chester%20Court%20%7C%20Sunglow%20Building%20%7C%20Nan%20Hai%20Mansion%20(Kennedy%20Town%20New%20Praya%201980's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=CW0145
Central and Western,Shek Tong Tsui,(Shek Tong Tsui) Queen's ...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Shek-Tong-Tsui/building-group(Shek%20Tong%20Tsui)%20Queen's%20Road%20West%20-%20Shek%20Tong%20Tsui%20Section%20%7C%20Hill%20Road%20%7C%20Po%20Tuck%20Street%20%7C%20South%20Lane%201960's%20private%20residential%20buildings?field=t_pop&sort=default&detailcode=CW0133
Central and Western,Shek Tong Tsui,(Shek Tong Tsui) Hill Roa...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Shek-Tong-Tsui/building-group(Shek%20Tong%20Tsui)%20Hill%20Road%20%7C%20Clarence%20Terrace%20%7C%20Woo%20Hop%20Street%20%7C%20Po%20Tuck%20Street%20%7C%20South%20Lane%201970-1980's%20private%20residential%20buildings?field=t_pop&sort=default&detailcode=CW0134
Central and Western,Shek Tong Tsui,(Shek Tong Tsui) 1990's p...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Shek-Tong-Tsui/building-group(Shek%20Tong%20Tsui)%201990's%20private%20residential%20buildings?field=t_pop&sort=default&detailcode=CW0135
