District,Sub-District,Estate,Link
Southern,Wah Fu,(Wah Fu) Wah Fu (2) Estate...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Wah-Fu/building-group(Wah%20Fu)%20Wah%20Fu%20(2)%20Estate%20-%20Wah%20Tai%20House%20(Wah%20Cheung%20Street%201970's%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0019
Southern,Wah Fu,(Wah Fu) Wah Fu (2) Estate...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Wah-Fu/building-group(Wah%20Fu)%20Wah%20Fu%20(2)%20Estate%20-%20Wah%20Cheung%20House%20(Wah%20Cheung%20Street%201970's%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0020
Southern,Wah Fu,(Wah Fu) Wah Fu (1) Estate...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Wah-Fu/building-group(Wah%20Fu)%20Wah%20Fu%20(1)%20Estate%20-%20Wah%20On%20%7C%20Wah%20Lok%20House%20(Wah%20Fu%20Street%201960's%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0021
Southern,Tin Wan,(Tin Wan) Tin Wan Estate ...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Tin-Wan/building-group(Tin%20Wan)%20Tin%20Wan%20Estate%20-%20Tin%20Hong%20House%20(Tin%20Wan%20New%20Street%201990's%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0103
Southern,Tin Wan,(Tin Wan) Tin Wan Estate ...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Tin-Wan/building-group(Tin%20Wan)%20Tin%20Wan%20Estate%20-%20Tin%20Kin%20House%20(Tin%20Wan%20New%20Street%201990's%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0104
Southern,Tin Wan,(Tin Wan) Tin Wan Estate ...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Tin-Wan/building-group(Tin%20Wan)%20Tin%20Wan%20Estate%20-%20Tin%20Chak%20House%20(Tin%20Wan%20New%20Street%201990's%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0105
Southern,Tin Wan,(Tin Wan) Tin Wan Estate ...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Tin-Wan/building-group(Tin%20Wan)%20Tin%20Wan%20Estate%20-%20Tin%20Lai%20House%20(Tin%20Wan%20New%20Street%201990's%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0106
Southern,Tin Wan,(Tin Wan) Hung Fuk Court ...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Tin-Wan/building-group(Tin%20Wan)%20Hung%20Fuk%20Court%20(Tin%20Wan%20New%20Street%201990's%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0107
Southern,Tin Wan,(Tin Wan) 1950-1970's pri...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Tin-Wan/building-group(Tin%20Wan)%201950-1970's%20private%20residential%20buildings?field=t_pop&sort=default&detailcode=SO0108
Southern,Tin Wan,(Tin Wan) 1980-2000's pri...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Tin-Wan/building-group(Tin%20Wan)%201980-2000's%20private%20residential%20buildings?field=t_pop&sort=default&detailcode=SO0109
Southern,Aberdeen,(Aberdeen) Aberdeen Main ...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Aberdeen/building-group(Aberdeen)%20Aberdeen%20Main%20Road%20%7C%20Old%20Main%20Street%20Aberdeen%201990-2000's%20private%20residential%20buildings?field=t_pop&sort=default&detailcode=SO0045
Southern,Aberdeen,(Aberdeen) Tsung Man Stre...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Aberdeen/building-group(Aberdeen)%20Tsung%20Man%20Street%20%7C%20Sai%20On%20Street%20%7C%20Wu%20Pak%20Street%20%7C%20Wu%20Nam%20Street%20%7C%20Tung%20Sing%20Road%20%7C%20Chengtu%20Road%201970-1980%20private%20residential%20buildings?field=t_pop&sort=default&detailcode=SO0046
Southern,Aberdeen,(Aberdeen) 1950-1960's pr...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Aberdeen/building-group(Aberdeen)%201950-1960's%20private%20residential%20buildings?field=t_pop&sort=default&detailcode=SO0047
Southern,Aberdeen,(Aberdeen) Ocean Court (A...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Aberdeen/building-group(Aberdeen)%20Ocean%20Court%20(Aberdeen%20Praya%20Road%201990's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0048
Southern,Aberdeen,(Aberdeen) Aberdeen Main ...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Aberdeen/building-group(Aberdeen)%20Aberdeen%20Main%20Road%20%7C%20Old%20Main%20Street%20Aderdeen%201970-1980's%20private%20residential%20buildings?field=t_pop&sort=default&detailcode=SO0049
Southern,Aberdeen,(Aberdeen) Yue Fai Court ...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Aberdeen/building-group(Aberdeen)%20Yue%20Fai%20Court%20(Yue%20Kwong%20Road%201980's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0050
Southern,Aberdeen,(Aberdeen) Yue Kwong Chue...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Aberdeen/building-group(Aberdeen)%20Yue%20Kwong%20Chuen%20-%20Hoy%20Au%20%7C%20Ching%20Hoy%20%7C%20Hoy%20Kong%20%7C%20Pak%20Sha%20%7C%20Shun%20Fung%20Lau%20(Aderdeen%20Reservoir%20Road%201960's%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0051
Southern,Aberdeen,(Aberdeen) Shek Pai Wan E...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Aberdeen/building-group(Aberdeen)%20Shek%20Pai%20Wan%20Estate%20-%20Pik%20Long%20%7C%20Pik%20Yuet%20House%20(Yue%20Kwong%20Road%202000's%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0053
Southern,Aberdeen,(Aberdeen) Shek Pai Wan E...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Aberdeen/building-group(Aberdeen)%20Shek%20Pai%20Wan%20Estate%20-%20Pik%20Ngan%20%7C%20Pik%20Fai%20House%20(Yue%20Kwong%20Road%202000's%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0054
Southern,Aberdeen,(Aberdeen) Shek Pai Wan E...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Aberdeen/building-group(Aberdeen)%20Shek%20Pai%20Wan%20Estate%20-%20Pik%20Shan%20%7C%20Pik%20Yuen%20House%20(Yue%20Kwong%20Road%202000's%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0055
Southern,Aberdeen,(Aberdeen) Shek Pai Wan E...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Aberdeen/building-group(Aberdeen)%20Shek%20Pai%20Wan%20Estate%20-%20Pik%20Wai%20%7C%20Pik%20Luk%20House%20(Yue%20Kwong%20Road%202000's%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0056
Southern,Aberdeen,(Aberdeen) Jing Hui Garde...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Aberdeen/building-group(Aberdeen)%20Jing%20Hui%20Garden%20%7C%20Tat%20Wo%20Building%20%7C%20Ngan%20Fung%20Building%20%7C%20Ka%20Ning%20Mansion%20%7C%20Aberdeen%20Harbour%20Mansion%20%7C%20Kin%20Fai%20Buildings%20(Aberdeen%20Main%20Road%20-%20East%20Section%201970-1980's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0057
Southern,Aberdeen,(Aberdeen) Abba House (Ab...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Aberdeen/building-group(Aberdeen)%20Abba%20House%20(Aberdeen%20Main%20Road%201980's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0058
Southern,Aberdeen,(Aberdeen) Aberdeen Centr...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Aberdeen/building-group(Aberdeen)%20Aberdeen%20Centre%20Block%20E-J%20(Nam%20Ning%20Street%201980's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0059
Southern,Aberdeen,(Aberdeen) Aberdeen Centr...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Aberdeen/building-group(Aberdeen)%20Aberdeen%20Centre%20Block%20P-U%20(Nam%20Ning%20Street%201980's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0060
Southern,Aberdeen,(Aberdeen) Aberdeen Centr...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Aberdeen/building-group(Aberdeen)%20Aberdeen%20Centre%20Block%20K-N%20(Nam%20Ning%20Street%201980's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0061
Southern,Aberdeen,(Aberdeen) Aberdeen Centr...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Aberdeen/building-group(Aberdeen)%20Aberdeen%20Centre%20Block%20A-D%20(Nam%20Ning%20Street%201980's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0062
Southern,Aberdeen,(Aberdeen / Tin Wan / Wah...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Aberdeen/building-group(Aberdeen%20%7C%20Tin%20Wan%20%7C%20Wah%20Fu%20%7C%20Ap%20Lei%20Chau%20%7C%20South%20Horizons%20%7C%20Yuk%20Kwai%20Shan%20Wan%20Poon%20%7C%20Ap%20Lei%20Chau%20Industrial%20%7C%20Wong%20Chuk%20Hang%20%7C%20Deep%20Bay)%20other%20buildings?field=t_pop&sort=default&detailcode=SO0122
Southern,Ap Lei Chau,(Ap Lei Chau) Yue On Cour...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Ap-Lei-Chau/building-group(Ap%20Lei%20Chau)%20Yue%20On%20Court%20-%20Ngan%20On%20%7C%20Choi%20On%20%7C%20Pik%20On%20House%20(Ap%20Lei%20Chau%20Bridge%20Road%201980's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0023
Southern,Ap Lei Chau,(Ap Lei Chau) Yue On Cour...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Ap-Lei-Chau/building-group(Ap%20Lei%20Chau)%20Yue%20On%20Court%20-%20Tse%20On%20%7C%20Har%20On%20House%20(Ap%20Lei%20Chau%20Bridge%20Road%201980's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0024
Southern,Ap Lei Chau,(Ap Lei Chau) Yue On Cour...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Ap-Lei-Chau/building-group(Ap%20Lei%20Chau)%20Yue%20On%20Court%20-%20Shan%20On%20%7C%20Wu%20On%20House%20(Ap%20Lei%20Chau%20Bridge%20Road%201980's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0025
Southern,Ap Lei Chau,(Ap Lei Chau) Lei Tung Es...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Ap-Lei-Chau/building-group(Ap%20Lei%20Chau)%20Lei%20Tung%20Estate%20-%20Tung%20Sing%20House%20(Ap%20Lei%20Chau%20Bridge%20Road%201980's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0026
Southern,Ap Lei Chau,(Ap Lei Chau) Lei Tung Es...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Ap-Lei-Chau/building-group(Ap%20Lei%20Chau)%20Lei%20Tung%20Estate%20-%20Tung%20Mau%20House%20(Ap%20Lei%20Chau%20Bridge%20Road%201980's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0027
Southern,Ap Lei Chau,(Ap Lei Chau) Lei Tung Es...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Ap-Lei-Chau/building-group(Ap%20Lei%20Chau)%20Lei%20Tung%20Estate%20-%20Tung%20Cheong%20House%20(Ap%20Lei%20Chau%20Bridge%20Road%201980's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0028
Southern,Ap Lei Chau,(Ap Lei Chau) Lei Tung Es...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Ap-Lei-Chau/building-group(Ap%20Lei%20Chau)%20Lei%20Tung%20Estate%20-%20Tung%20Yip%20House%20(Ap%20Lei%20Chau%20Bridge%20Road%201980's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0029
Southern,Ap Lei Chau,(Ap Lei Chau) Lei Tung Es...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Ap-Lei-Chau/building-group(Ap%20Lei%20Chau)%20Lei%20Tung%20Estate%20-%20Tung%20Hing%20House%20(Ap%20Lei%20Chau%20Bridge%20Road%201980's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0030
Southern,Ap Lei Chau,(Ap Lei Chau) Lei Tung Es...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Ap-Lei-Chau/building-group(Ap%20Lei%20Chau)%20Lei%20Tung%20Estate%20-%20Tung%20On%20House%20(Ap%20Lei%20Chau%20Bridge%20Road%201980's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0031
Southern,Ap Lei Chau,(Ap Lei Chau) Lei Tung Es...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Ap-Lei-Chau/building-group(Ap%20Lei%20Chau)%20Lei%20Tung%20Estate%20-%20Tung%20Yat%20House%20(Ap%20Lei%20Chau%20Bridge%20Road%201980's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0032
Southern,Ap Lei Chau,(Ap Lei Chau) Lei Tung Es...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Ap-Lei-Chau/building-group(Ap%20Lei%20Chau)%20Lei%20Tung%20Estate%20-%20Tung%20Ping%20House%20(Ap%20Lei%20Chau%20Bridge%20Road%201980's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0033
Southern,Ap Lei Chau,(Ap Lei Chau) Ap Lei Chau...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Ap-Lei-Chau/building-group(Ap%20Lei%20Chau)%20Ap%20Lei%20Chau%20Estate%20-%20Lei%20Yee%20House%20(Ap%20Lei%20Chau%20Bridge%20Road%201980's%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0034
Southern,Ap Lei Chau,(Ap Lei Chau) Ap Lei Chau...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Ap-Lei-Chau/building-group(Ap%20Lei%20Chau)%20Ap%20Lei%20Chau%20Estate%20-%20Lei%20Ning%20House%20(Ap%20Lei%20Chau%20Bridge%20Road%201980's%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0035
Southern,Ap Lei Chau,(Ap Lei Chau) Ap Lei Chau...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Ap-Lei-Chau/building-group(Ap%20Lei%20Chau)%20Ap%20Lei%20Chau%20Estate%20-%20Lei%20Chak%20House%20(Ap%20Lei%20Chau%20Bridge%20Road%201980's%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0036
Southern,Ap Lei Chau,(Ap Lei Chau) Ap Lei Chau...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Ap-Lei-Chau/building-group(Ap%20Lei%20Chau)%20Ap%20Lei%20Chau%20Estate%20-%20Lei%20Tim%20House%20(Ap%20Lei%20Chau%20Bridge%20Road%201980's%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0037
Southern,Ap Lei Chau,(Ap Lei Chau) Ap Lei Chau...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Ap-Lei-Chau/building-group(Ap%20Lei%20Chau)%20Ap%20Lei%20Chau%20Estate%20-%20Lei%20Fook%20House%20(Ap%20Lei%20Chau%20Bridge%20Road%201980's%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0038
Southern,Ap Lei Chau,(Ap Lei Chau) Ap Lei Chau...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Ap-Lei-Chau/building-group(Ap%20Lei%20Chau)%20Ap%20Lei%20Chau%20Estate%20-%20Lei%20Moon%20House%20(Ap%20Lei%20Chau%20Bridge%20Road%201980's%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0039
Southern,Ap Lei Chau,(Ap Lei Chau) Main Street...,"https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Ap-Lei-Chau/building-group(Ap%20Lei%20Chau)%20Main%20Street,%20Ap%20Lei%20Chau%201980-1990's%20private%20residential%20buildings?field=t_pop&sort=default&detailcode=SO0041"
Southern,Ap Lei Chau,(Ap Lei Chau) Ping Lan St...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Ap-Lei-Chau/building-group(Ap%20Lei%20Chau)%20Ping%20Lan%20Street%20%7C%20Hung%20Shing%20Street%20%7C%20Wai%20Fung%20Street%20%7C%20Lee%20Chi%20Road%201980-2000's%20private%20residential%20buildings?field=t_pop&sort=default&detailcode=SO0042
Southern,Ap Lei Chau,(Ap Lei Chau) 1950-1970's...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Ap-Lei-Chau/building-group(Ap%20Lei%20Chau)%201950-1970's%20private%20residential%20buildings?field=t_pop&sort=default&detailcode=SO0043
Southern,Ap Lei Chau,(Ap Lei Chau) Marina Habi...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Ap-Lei-Chau/building-group(Ap%20Lei%20Chau)%20Marina%20Habitat%20(Yuet%20Hoi%20Street%201990's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0044
Southern,Ap Lei Chau,(Ap Lei Chau) Ap Lei Chau...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Ap-Lei-Chau/building-group(Ap%20Lei%20Chau)%20Ap%20Lei%20Chau%20Centre%20%7C%20Kam%20Fat%20Building%20(Lee%20Chi%20Road%201980's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0125
Southern,South Horizons,(South Horizons) South Ho...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/South-Horizons/building-group(South%20Horizons)%20South%20Horizons%20Phase%201%20Tower%201-2%20(South%20Horizon%20Drive%201990's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0063
Southern,South Horizons,(South Horizons) South Ho...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/South-Horizons/building-group(South%20Horizons)%20South%20Horizons%20Phase%201%20Tower%203-6%20(South%20Horizon%20Drive%201990's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0064
Southern,South Horizons,(South Horizons) South Ho...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/South-Horizons/building-group(South%20Horizons)%20South%20Horizons%20Phase%202%20Tower%207-8%20(South%20Horizon%20Drive%201990's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0065
Southern,South Horizons,(South Horizons) South Ho...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/South-Horizons/building-group(South%20Horizons)%20South%20Horizons%20Phase%202%20Tower%209-10%20(South%20Horizon%20Drive%201990's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0066
Southern,South Horizons,(South Horizons) South Ho...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/South-Horizons/building-group(South%20Horizons)%20South%20Horizons%20Phase%202%20Tower%2011-13%20(South%20Horizon%20Drive%201990's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0067
Southern,South Horizons,(South Horizons) South Ho...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/South-Horizons/building-group(South%20Horizons)%20South%20Horizons%20Phase%202%20Tower%2013A-16%20(South%20Horizon%20Drive%201990's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0068
Southern,South Horizons,(South Horizons) South Ho...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/South-Horizons/building-group(South%20Horizons)%20South%20Horizons%20Phase%203%20Tower%2017-18%20(South%20Horizon%20Drive%201990's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0069
Southern,South Horizons,(South Horizons) South Ho...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/South-Horizons/building-group(South%20Horizons)%20South%20Horizons%20Phase%203%20Tower%2019-20%20(South%20Horizon%20Drive%201990's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0070
Southern,South Horizons,(South Horizons) South Ho...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/South-Horizons/building-group(South%20Horizons)%20South%20Horizons%20Phase%203%20Tower%2021-22%20(South%20Horizon%20Drive%201990's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0071
Southern,South Horizons,(South Horizons) South Ho...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/South-Horizons/building-group(South%20Horizons)%20South%20Horizons%20Phase%203%20Tower%2023-23A%20(South%20Horizon%20Drive%201990's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0072
Southern,South Horizons,(South Horizons) South Ho...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/South-Horizons/building-group(South%20Horizons)%20South%20Horizons%20Phase%204%20The%20Oasis%20Tower%2025-28%20(South%20Horizon%20Drive%201990's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0073
Southern,South Horizons,(South Horizons) South Ho...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/South-Horizons/building-group(South%20Horizons)%20South%20Horizons%20Phase%204%20Tower%2029-31%20(South%20Horizon%20Drive%201990's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0074
Southern,South Horizons,(South Horizons) South Ho...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/South-Horizons/building-group(South%20Horizons)%20South%20Horizons%20Phase%204%20The%20Oasis%20Tower%2032-33A%20(South%20Horizon%20Drive%201990's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0075
Southern,Yuk Kwai Shan Wan...,(Yuk Kwai Shan Wan Poon) ...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Yuk-Kwai-Shan-Wan-Poon/building-group(Yuk%20Kwai%20Shan%20Wan%20Poon)%20Sham%20Wan%20Towers%20(Ap%20Lei%20Chau%20Drive%202000's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0117
Southern,Yuk Kwai Shan Wan...,(Yuk Kwai Shan Wan Poon) ...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Yuk-Kwai-Shan-Wan-Poon/building-group(Yuk%20Kwai%20Shan%20Wan%20Poon)%20Larvotto%20%7C%20Marina%20South%20(Ap%20Lei%20Chau%20Praya%20Road%20%7C%20Ap%20Lei%20Chau%20Drive%202000's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0124
Southern,Deep Bay,(Deep Bay) Grandview Gard...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Deep-Bay/building-group(Deep%20Bay)%20Grandview%20Garden%20%7C%20Jumbo%20Court%20%7C%20Marinella%20(Nam%20Long%20Shan%20Road%20%7C%20Welfare%20Road%201970-2000's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0085
Southern,Deep Bay,(Deep Bay) Broadview Cour...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Deep-Bay/building-group(Deep%20Bay)%20Broadview%20Court%20Block%201-2%20(Shum%20Wan%20Road%202000's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0086
Southern,Deep Bay,(Deep Bay) Broadview Cour...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Deep-Bay/building-group(Deep%20Bay)%20Broadview%20Court%20Block%203-4%20(Shum%20Wan%20Road%202000's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0087
Southern,Deep Bay,(Deep Bay) South Wave Cou...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Deep-Bay/building-group(Deep%20Bay)%20South%20Wave%20Court%20(Shum%20Wan%20Road%202000's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0088
Southern,Shouson Hill,(Shouson Hill) houses / v...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Shouson-Hill/building-group(Shouson%20Hill)%20houses%20%7C%20villas?field=t_pop&sort=default&detailcode=SO0022
Southern,Deep Water Bay,(Deep Water Bay) Island R...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Deep-Water-Bay/building-group(Deep%20Water%20Bay)%20Island%20Road%20%7C%20Deep%20Water%20Bay%20Road%20-%20Deep%20Water%20Bay%20Section%20%7C%20Deep%20Water%20Bay%20Drive%20private%20residential%20buildings%20%7C%20houses%20%7C%20villas?field=t_pop&sort=default&detailcode=SO0083
Southern,Repulse Bay,(Repulse Bay) Repulse Bay...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Repulse-Bay/building-group(Repulse%20Bay)%20Repulse%20Bay%20Road%20%7C%20Belleview%20Drive%20%7C%20Beach%20Road%20%7C%20South%20Bay%20Road%20%7C%20Headland%20Road%20houses%20%7C%20villas?field=t_pop&sort=default&detailcode=SO0078
Southern,Repulse Bay,(Repulse Bay) Hong Kong P...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Repulse-Bay/building-group(Repulse%20Bay)%20Hong%20Kong%20Parkview%20(Tai%20Tam%20Reservoir%20Road%201980's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0079
Southern,Repulse Bay,(Repulse Bay) Repulse Bay...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Repulse-Bay/building-group(Repulse%20Bay)%20Repulse%20Bay%20Road%201980-2000's%20private%20residential%20buildings?field=t_pop&sort=default&detailcode=SO0080
Southern,Repulse Bay,(Repulse Bay) 1950-1970's...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Repulse-Bay/building-group(Repulse%20Bay)%201950-1970's%20private%20residential%20buildings?field=t_pop&sort=default&detailcode=SO0081
Southern,Repulse Bay,(Repulse Bay) South Bay R...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Repulse-Bay/building-group(Repulse%20Bay)%20South%20Bay%20Road%20%7C%20South%20Bay%20Close%20%7C%20Deep%20Water%20Bay%20Drive%20%7C%20Headland%20Road%201980-2000's%20private%20residential%20buildings?field=t_pop&sort=default&detailcode=SO0082
Southern,Repulse Bay,(Chung Hom Kok / Shouson ...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Repulse-Bay/building-group(Chung%20Hom%20Kok%20%7C%20Shouson%20Hill%20%7C%20Deep%20Water%20Bay%20%7C%20Repulse%20Bay%20%7C%20Tai%20Tam%20%7C%20Stanley%20%7C%20Ma%20Hang)%20other%20buildings?field=t_pop&sort=default&detailcode=SO0121
Southern,Chung Hom Kok,(Chung Hom Kok) private r...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Chung-Hom-Kok/building-group(Chung%20Hom%20Kok)%20private%20residential%20buildings%20%7C%20houses%20%7C%20villas?field=t_pop&sort=default&detailcode=SO0089
Southern,Ma Hang,(Ma Hang) Ma Hang Estate ...,https://hkdata.centanet.com/BigData/hong-kong/Southern/CHMA/Ma-Hang/building-group(Ma%20Hang)%20Ma%20Hang%20Estate%20(Cape%20Road%201990's%20residential%20buildings)?field=t_pop&sort=default&detailcode=SO0076
