District,Sub-District,Estate,Link,edu_ter,Type,Code,NameE,DateValue,Period,lat,lon,log
Central and Western,Kennedy Town,(Kennedy Town) Ivy On Bel...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Kennedy-Town/building-group(Kennedy%20Town)%20Ivy%20On%20Belcher's%20%7C%20Westview%20Height%20%7C%20La%20Maison%20Du%20Nord%20%7C%20Shun%20Cheong%20Building%20%7C%20The%20Sail%20At%20Victoria%20%7C%2060%20Victoria%20Road%20%7C%20Mourt%20Davis%2033%20%7C%20Belcher's%20Hill%20%7C%20The%20Kennedy%20On%20Belcher's%20(Kennedy%20Town%202000's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=CW0060,21632.67,building,CW0060,(Kennedy Town) Ivy On Belcher's / Westview Height / La Maison Du Nord / Shun Cheong Building / The Sail At Victoria / 60 Victoria Road / Mourt Davis 33 / Belcher's Hill / The Kennedy On Belcher's (Kennedy Town 2000's private residential buildings),202201,Month,22.28277,114.12953,9.981959950996185
Central and Western,Kennedy Town,(Kennedy Town) Ivy On Bel...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Kennedy-Town/building-group(Kennedy%20Town)%20Ivy%20On%20Belcher's%20%7C%20Westview%20Height%20%7C%20La%20Maison%20Du%20Nord%20%7C%20Shun%20Cheong%20Building%20%7C%20The%20Sail%20At%20Victoria%20%7C%2060%20Victoria%20Road%20%7C%20Mourt%20Davis%2033%20%7C%20Belcher's%20Hill%20%7C%20The%20Kennedy%20On%20Belcher's%20(Kennedy%20Town%202000's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=CW0060,20603.33,building,CW0060,(Kennedy Town) Ivy On Belcher's / Westview Height / La Maison Du Nord / Shun Cheong Building / The Sail At Victoria / 60 Victoria Road / Mourt Davis 33 / Belcher's Hill / The Kennedy On Belcher's (Kennedy Town 2000's private residential buildings),202202,Month,22.28277,114.12953,9.933207992199078
Central and Western,Kennedy Town,(Kennedy Town) Ivy On Bel...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Kennedy-Town/building-group(Kennedy%20Town)%20Ivy%20On%20Belcher's%20%7C%20Westview%20Height%20%7C%20La%20Maison%20Du%20Nord%20%7C%20Shun%20Cheong%20Building%20%7C%20The%20Sail%20At%20Victoria%20%7C%2060%20Victoria%20Road%20%7C%20Mourt%20Davis%2033%20%7C%20Belcher's%20Hill%20%7C%20The%20Kennedy%20On%20Belcher's%20(Kennedy%20Town%202000's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=CW0060,24450.0,building,CW0060,(Kennedy Town) Ivy On Belcher's / Westview Height / La Maison Du Nord / Shun Cheong Building / The Sail At Victoria / 60 Victoria Road / Mourt Davis 33 / Belcher's Hill / The Kennedy On Belcher's (Kennedy Town 2000's private residential buildings),202203,Month,22.28277,114.12953,10.104385494903019
Central and Western,Kennedy Town,(Kennedy Town) Ivy On Bel...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Kennedy-Town/building-group(Kennedy%20Town)%20Ivy%20On%20Belcher's%20%7C%20Westview%20Height%20%7C%20La%20Maison%20Du%20Nord%20%7C%20Shun%20Cheong%20Building%20%7C%20The%20Sail%20At%20Victoria%20%7C%2060%20Victoria%20Road%20%7C%20Mourt%20Davis%2033%20%7C%20Belcher's%20Hill%20%7C%20The%20Kennedy%20On%20Belcher's%20(Kennedy%20Town%202000's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=CW0060,25974.25,building,CW0060,(Kennedy Town) Ivy On Belcher's / Westview Height / La Maison Du Nord / Shun Cheong Building / The Sail At Victoria / 60 Victoria Road / Mourt Davis 33 / Belcher's Hill / The Kennedy On Belcher's (Kennedy Town 2000's private residential buildings),202204,Month,22.28277,114.12953,10.164860941633341
Central and Western,Kennedy Town,(Kennedy Town) Ivy On Bel...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Kennedy-Town/building-group(Kennedy%20Town)%20Ivy%20On%20Belcher's%20%7C%20Westview%20Height%20%7C%20La%20Maison%20Du%20Nord%20%7C%20Shun%20Cheong%20Building%20%7C%20The%20Sail%20At%20Victoria%20%7C%2060%20Victoria%20Road%20%7C%20Mourt%20Davis%2033%20%7C%20Belcher's%20Hill%20%7C%20The%20Kennedy%20On%20Belcher's%20(Kennedy%20Town%202000's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=CW0060,18142.0,building,CW0060,(Kennedy Town) Ivy On Belcher's / Westview Height / La Maison Du Nord / Shun Cheong Building / The Sail At Victoria / 60 Victoria Road / Mourt Davis 33 / Belcher's Hill / The Kennedy On Belcher's (Kennedy Town 2000's private residential buildings),202205,Month,22.28277,114.12953,9.80598497117489
Central and Western,Kennedy Town,(Kennedy Town) Ivy On Bel...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Kennedy-Town/building-group(Kennedy%20Town)%20Ivy%20On%20Belcher's%20%7C%20Westview%20Height%20%7C%20La%20Maison%20Du%20Nord%20%7C%20Shun%20Cheong%20Building%20%7C%20The%20Sail%20At%20Victoria%20%7C%2060%20Victoria%20Road%20%7C%20Mourt%20Davis%2033%20%7C%20Belcher's%20Hill%20%7C%20The%20Kennedy%20On%20Belcher's%20(Kennedy%20Town%202000's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=CW0060,22200.0,building,CW0060,(Kennedy Town) Ivy On Belcher's / Westview Height / La Maison Du Nord / Shun Cheong Building / The Sail At Victoria / 60 Victoria Road / Mourt Davis 33 / Belcher's Hill / The Kennedy On Belcher's (Kennedy Town 2000's private residential buildings),202206,Month,22.28277,114.12953,10.00784756786037
Central and Western,Kennedy Town,(Kennedy Town) Ivy On Bel...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Kennedy-Town/building-group(Kennedy%20Town)%20Ivy%20On%20Belcher's%20%7C%20Westview%20Height%20%7C%20La%20Maison%20Du%20Nord%20%7C%20Shun%20Cheong%20Building%20%7C%20The%20Sail%20At%20Victoria%20%7C%2060%20Victoria%20Road%20%7C%20Mourt%20Davis%2033%20%7C%20Belcher's%20Hill%20%7C%20The%20Kennedy%20On%20Belcher's%20(Kennedy%20Town%202000's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=CW0060,22200.0,building,CW0060,(Kennedy Town) Ivy On Belcher's / Westview Height / La Maison Du Nord / Shun Cheong Building / The Sail At Victoria / 60 Victoria Road / Mourt Davis 33 / Belcher's Hill / The Kennedy On Belcher's (Kennedy Town 2000's private residential buildings),202207,Month,22.28277,114.12953,10.00784756786037
Central and Western,Kennedy Town,(Kennedy Town) Ivy On Bel...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Kennedy-Town/building-group(Kennedy%20Town)%20Ivy%20On%20Belcher's%20%7C%20Westview%20Height%20%7C%20La%20Maison%20Du%20Nord%20%7C%20Shun%20Cheong%20Building%20%7C%20The%20Sail%20At%20Victoria%20%7C%2060%20Victoria%20Road%20%7C%20Mourt%20Davis%2033%20%7C%20Belcher's%20Hill%20%7C%20The%20Kennedy%20On%20Belcher's%20(Kennedy%20Town%202000's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=CW0060,22200.0,building,CW0060,(Kennedy Town) Ivy On Belcher's / Westview Height / La Maison Du Nord / Shun Cheong Building / The Sail At Victoria / 60 Victoria Road / Mourt Davis 33 / Belcher's Hill / The Kennedy On Belcher's (Kennedy Town 2000's private residential buildings),202208,Month,22.28277,114.12953,10.00784756786037
Central and Western,Kennedy Town,(Kennedy Town) Ivy On Bel...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Kennedy-Town/building-group(Kennedy%20Town)%20Ivy%20On%20Belcher's%20%7C%20Westview%20Height%20%7C%20La%20Maison%20Du%20Nord%20%7C%20Shun%20Cheong%20Building%20%7C%20The%20Sail%20At%20Victoria%20%7C%2060%20Victoria%20Road%20%7C%20Mourt%20Davis%2033%20%7C%20Belcher's%20Hill%20%7C%20The%20Kennedy%20On%20Belcher's%20(Kennedy%20Town%202000's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=CW0060,22663.0,building,CW0060,(Kennedy Town) Ivy On Belcher's / Westview Height / La Maison Du Nord / Shun Cheong Building / The Sail At Victoria / 60 Victoria Road / Mourt Davis 33 / Belcher's Hill / The Kennedy On Belcher's (Kennedy Town 2000's private residential buildings),202209,Month,22.28277,114.12953,10.028488917698931
Central and Western,Kennedy Town,(Kennedy Town) Ivy On Bel...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Kennedy-Town/building-group(Kennedy%20Town)%20Ivy%20On%20Belcher's%20%7C%20Westview%20Height%20%7C%20La%20Maison%20Du%20Nord%20%7C%20Shun%20Cheong%20Building%20%7C%20The%20Sail%20At%20Victoria%20%7C%2060%20Victoria%20Road%20%7C%20Mourt%20Davis%2033%20%7C%20Belcher's%20Hill%20%7C%20The%20Kennedy%20On%20Belcher's%20(Kennedy%20Town%202000's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=CW0060,17297.33,building,CW0060,(Kennedy Town) Ivy On Belcher's / Westview Height / La Maison Du Nord / Shun Cheong Building / The Sail At Victoria / 60 Victoria Road / Mourt Davis 33 / Belcher's Hill / The Kennedy On Belcher's (Kennedy Town 2000's private residential buildings),202210,Month,22.28277,114.12953,9.758307433314844
Central and Western,Kennedy Town,(Kennedy Town) Ivy On Bel...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Kennedy-Town/building-group(Kennedy%20Town)%20Ivy%20On%20Belcher's%20%7C%20Westview%20Height%20%7C%20La%20Maison%20Du%20Nord%20%7C%20Shun%20Cheong%20Building%20%7C%20The%20Sail%20At%20Victoria%20%7C%2060%20Victoria%20Road%20%7C%20Mourt%20Davis%2033%20%7C%20Belcher's%20Hill%20%7C%20The%20Kennedy%20On%20Belcher's%20(Kennedy%20Town%202000's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=CW0060,17297.33,building,CW0060,(Kennedy Town) Ivy On Belcher's / Westview Height / La Maison Du Nord / Shun Cheong Building / The Sail At Victoria / 60 Victoria Road / Mourt Davis 33 / Belcher's Hill / The Kennedy On Belcher's (Kennedy Town 2000's private residential buildings),202211,month,22.28277,114.12953,9.758307433314844
