variable ,identifier ,unit,type,,,
Working population with fixed place of work in Hong Kong - Main mode of transport to place of work - Mass Transit Railway (Local line),census_wp_mtr,,Economic,,,
Bus,census_wp_bus,,Household,,,
On foot only,census_wp_foot,,Household,,,
Public light bus,census_wp_plb,,Household,,,
Others,census_wp_oth,,Household,,,
Number of domestic households,census_dh,,Household,,,
Household size - 1 to 3,census_dhz_1,,Household,,,
4,census_dhz_2,,Household,,,
5 and over,census_dhz_3,,Household,,,
Average domestic household size,census_adhz,HK$,Household,,,
Household composition - Nuclear family households,census_dhc_1,HK$,Household,,,
Relative households,census_dhc_2,HK$,Household,,,
Other households,census_dhc_3,HK$,Household,,,
Monthly domestic household income - Upper quartile,census_dhi_3,HK$,Household,,,
Median,census_dhi_2,HK$,Household,,,
Lower quartile,census_dhi_1,,Household,,,
Monthly domestic household income(excluding foreign domestic helpers) - Upper quartile,census_dhi_xfdh_3,,Household,,,
Median,census_dhi_xfdh_2,,Household,,,
Lower quartile,census_dhi_xfdh_1,,Household,,,
Heads of domestic households - Median age,census_ma_hh,,Household,,,
Nationality of heads of domestic households - Chinese,census_dhn_c,,Household,,,
Non-Chinese,census_dhn_nc,,Rent and Mortgage ,,,
Occupied quarters by type of quarters - Public rental housing units,census_oq_qrt_pub,,Rent and Mortgage ,,,
Subsidised sale flats,census_oq_qrt_s,,Rent and Mortgage ,,,
Quarters in private permanent housing,census_oq_qrt_pri,,Rent and Mortgage ,,,
Number of exclusively used rooms (excluding kitchens and bathrooms/ toilets) in the accommodation of domestic households^ - 1 to 2,census_dh_r1,,Rent and Mortgage ,,,
"3,",census_dh_r3,rooms,Rent and Mortgage ,,,
"4,",census_dh_r4,rooms,Rent and Mortgage ,,,
5 and over,census_dh_r5,mÂ²,Rent and Mortgage ,,,
Without exclusively used rooms,census_dh_ro,mÂ²,Rent and Mortgage ,,,
Average number of rooms (excluding kitchens and bathrooms/ toilets)^ - Per domestic household,census_anr_h,mÂ²,Rent and Mortgage ,,,
Per person,census_anr_p,%,Rent and Mortgage ,,,
Floor area of accommodation of domestic households^  - Upper quartile,census_fa_3,%,Rent and Mortgage ,,,
Median,census_fa_2,,Rent and Mortgage ,,,
Lower quartile,census_fa_1,,Rent and Mortgage ,,,
Tenure of accommodation of domestic households^  - Owner-occupier  with mortgage payment or loan repayment,census_dh_old_ocm,years,Rent and Mortgage ,,,
Owner-occupier  without mortgage payment and loan repayment,census_dh_old_ocwm,,Rent and Mortgage ,,,
Sole tenant,census_dh_st,,Rent and Mortgage ,,,
Others,census_dh_oth,,Internal migration characteristics ,,,
Domestic households owning the quarters they occupy with mortgage or loan ^ - Median monthly mortgage payment and loan repayment,census_dhm_loan,,Internal migration characteristics ,,,
Median mortgage payment and loan repayment to income ratio,census_dhm_lr,,Internal migration characteristics ,,,
Median outstanding period of mortgage payment or loan repayment,census_dhm_lp,,Internal migration characteristics ,,,
Domestic households renting the accommodation they occupy - Median monthly household rent,census_dm_r,,Internal migration characteristics ,,,
Median household rent to income ratio,census_dmr_ir,,Internal migration characteristics ,,,
Area of residence 5 years ago of domestic households with single household head^  -Remained in same address,census_dm_r1,%,Internal migration characteristics ,,,
Resided in same District Council district (having migrated),census_dm_r2,%,Internal migration characteristics ,,,
Resided in different District Council district (having migrated),census_dm_r3,,Internal migration characteristics ,,,
Resided outside Hong Kong,census_dm_r4,,Internal migration characteristics ,,,
Domestic households with older person(s) aged 65 and over only,census_dh_old,,Internal migration characteristics ,,,
"1,",census_dh_old_1,,Internal migration characteristics ,,,
2 and over,census_dh_old_2,,Internal migration characteristics ,,,
Tenure of accommodation of domestic households with older person(s) aged 65 and over only^  - Owner-occupier  with mortgage payment or loan repayment,with mortgage or loan,,Internal migration characteristics ,,,
Owner-occupier  without mortgage payment and loan repayment,without mortgage and loan,,Internal migration characteristics ,,,
Sole tenant,census_dh_old_st,,Internal migration characteristics ,,,
Others,census_dh_old_oth,,Internal migration characteristics ,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
