,date,year,month,strip_cat_1,strip_cdd_1,strip_hdd_1,strip_cat_continuous,strip_cdd_continuous,strip_hdd_continuous,strip_ot_continuous,temperature,ms,strip_cat_2,strip_cdd_2,strip_hdd_2,strip_cat_3,strip_cdd_3,strip_hdd_3,strip_cat_4,strip_cdd_4,strip_hdd_4,strip_cat_5,strip_cdd_5,strip_hdd_5,strip_cat_6,strip_cdd_6,strip_hdd_6,strip_cat_7,strip_cdd_7,strip_hdd_7,strip_cat_8,strip_cdd_8,strip_hdd_8,strip_cat_9,strip_cdd_9,strip_hdd_9,strip_cat_10,strip_cdd_10,strip_hdd_10,strip_cat_11,strip_cdd_11,strip_hdd_11,strip_cat_12,strip_cdd_12,strip_hdd_12,strip_cat_continuous_payoff,strip_cdd_continuous_payoff,strip_hdd_continuous_payoff,strip_ot_continuous_payoff
0,2010-01-20,2010,1,512.4,152.40000000000006,0.0,512.4,152.40000000000006,0.0,0.0,25.62,-23.64533394804575,457.91666666666674,97.91666666666663,0.0,445.45833333333337,85.45833333333326,0.0,463.9074074074074,103.90740740740739,0.0,443.3416666666665,83.3416666666667,0.0,497.58333333333326,137.5833333333333,0.0,615.0,255.0,0.0,621.25,261.25,0.0,652.5,292.5,0.0,566.5833333333331,206.5833333333333,0.0,437.0,76.99999999999994,0.0,437.41666666666674,77.41666666666669,0.0,,,,
1,2010-01-21,2010,1,512.4,152.40000000000006,0.0,512.4,152.40000000000006,0.0,0.0,25.711428571428574,-23.64533394804575,457.91666666666674,97.91666666666663,0.0,445.45833333333337,85.45833333333326,0.0,463.9074074074074,103.90740740740739,0.0,443.3416666666665,83.3416666666667,0.0,497.58333333333326,137.5833333333333,0.0,615.0,255.0,0.0,621.25,261.25,0.0,652.5,292.5,0.0,566.5833333333331,206.5833333333333,0.0,437.0,76.99999999999994,0.0,437.41666666666674,77.41666666666669,0.0,0.0,0.0,0.0,0.0
2,2010-01-22,2010,1,1026.6285714285711,306.6285714285715,0.0,1026.6285714285711,306.6285714285715,0.0,0.0,25.84857142857143,-23.81077101403882,457.91666666666674,97.91666666666663,0.0,445.45833333333337,85.45833333333326,0.0,463.9074074074074,103.90740740740739,0.0,443.3416666666665,83.3416666666667,0.0,497.58333333333326,137.5833333333333,0.0,615.0,255.0,0.0,621.25,261.25,0.0,652.5,292.5,0.0,566.5833333333331,206.5833333333333,0.0,437.0,76.99999999999994,0.0,437.41666666666674,77.41666666666669,0.0,514.2285714285712,154.22857142857143,0.0,0.0
3,2010-01-23,2010,1,1543.6000000000008,463.6000000000001,0.0,1543.6000000000008,463.6000000000001,0.0,0.0,25.985714285714284,-23.826857926021862,457.91666666666674,97.91666666666663,0.0,445.45833333333337,85.45833333333326,0.0,463.9074074074074,103.90740740740739,0.0,443.3416666666665,83.3416666666667,0.0,497.58333333333326,137.5833333333333,0.0,615.0,255.0,0.0,621.25,261.25,0.0,652.5,292.5,0.0,566.5833333333331,206.5833333333333,0.0,437.0,76.99999999999994,0.0,437.41666666666674,77.41666666666669,0.0,516.9714285714297,156.9714285714286,0.0,0.0
4,2010-01-24,2010,1,2063.314285714286,623.3142857142856,0.0,2063.314285714286,623.3142857142856,0.0,0.0,26.122857142857143,-23.821212494361877,457.91666666666674,97.91666666666663,0.0,445.45833333333337,85.45833333333326,0.0,463.9074074074074,103.90740740740739,0.0,443.3416666666665,83.3416666666667,0.0,497.58333333333326,137.5833333333333,0.0,615.0,255.0,0.0,621.25,261.25,0.0,652.5,292.5,0.0,566.5833333333331,206.5833333333333,0.0,437.0,76.99999999999994,0.0,437.41666666666674,77.41666666666669,0.0,519.7142857142853,159.7142857142855,0.0,0.0
5,2010-01-25,2010,1,2585.7714285714287,785.7714285714287,0.0,2585.7714285714287,785.7714285714287,0.0,0.0,26.26,-23.814308881428477,457.91666666666674,97.91666666666663,0.0,445.45833333333337,85.45833333333326,0.0,463.9074074074074,103.90740740740739,0.0,443.3416666666665,83.3416666666667,0.0,497.58333333333326,137.5833333333333,0.0,615.0,255.0,0.0,621.25,261.25,0.0,652.5,292.5,0.0,566.5833333333331,206.5833333333333,0.0,437.0,76.99999999999994,0.0,437.41666666666674,77.41666666666669,0.0,522.4571428571426,162.45714285714314,0.0,0.0
6,2010-01-26,2010,1,3110.9714285714285,950.9714285714289,0.0,3110.9714285714285,950.9714285714289,0.0,0.0,25.302152255639097,-23.84254101978582,457.91666666666674,97.91666666666663,0.0,445.45833333333337,85.45833333333326,0.0,463.9074074074074,103.90740740740739,0.0,443.3416666666665,83.3416666666667,0.0,497.58333333333326,137.5833333333333,0.0,615.0,255.0,0.0,621.25,261.25,0.0,652.5,292.5,0.0,566.5833333333331,206.5833333333333,0.0,437.0,76.99999999999994,0.0,437.41666666666674,77.41666666666669,0.0,525.1999999999998,165.20000000000016,0.0,0.0
7,2010-01-27,2010,1,3617.014473684211,1097.0144736842108,0.0,3617.014473684211,1097.0144736842108,0.0,0.0,25.842912679425837,-23.886628302178956,457.91666666666674,97.91666666666663,0.0,445.45833333333337,85.45833333333326,0.0,463.9074074074074,103.90740740740739,0.0,443.3416666666665,83.3416666666667,0.0,497.58333333333326,137.5833333333333,0.0,615.0,255.0,0.0,621.25,261.25,0.0,652.5,292.5,0.0,566.5833333333331,206.5833333333333,0.0,437.0,76.99999999999994,0.0,437.41666666666674,77.41666666666669,0.0,506.0430451127827,146.0430451127819,0.0,0.0
8,2010-01-28,2010,1,4133.872727272727,1253.8727272727274,0.0,4133.872727272727,1253.8727272727274,0.0,0.0,26.14886363636364,-23.93107106102044,457.91666666666674,97.91666666666663,0.0,445.45833333333337,85.45833333333326,0.0,463.9074074074074,103.90740740740739,0.0,443.3416666666665,83.3416666666667,0.0,497.58333333333326,137.5833333333333,0.0,615.0,255.0,0.0,621.25,261.25,0.0,652.5,292.5,0.0,566.5833333333331,206.5833333333333,0.0,437.0,76.99999999999994,0.0,437.41666666666674,77.41666666666669,0.0,516.8582535885162,156.85825358851662,0.0,0.0
9,2010-01-29,2010,1,4656.850000000001,1416.85,0.0,4656.850000000001,1416.85,0.0,0.0,27.749747474747476,-23.988942385010976,457.91666666666674,97.91666666666663,0.0,445.45833333333337,85.45833333333326,0.0,463.9074074074074,103.90740740740739,0.0,443.3416666666665,83.3416666666667,0.0,497.58333333333326,137.5833333333333,0.0,615.0,255.0,0.0,621.25,261.25,0.0,652.5,292.5,0.0,566.5833333333331,206.5833333333333,0.0,437.0,76.99999999999994,0.0,437.41666666666674,77.41666666666669,0.0,522.9772727272739,162.97727272727252,0.0,0.0
