Buffer_Diameter_m,% built-up,% vegetated,% bare soil,% rock,% water,% dense/high vegetation,% sparse/low vegetation,Building fraction (%),Road/impervious cover fraction (%),Average SVF,Average building height (m),Std dev of building height (m),District
7000,0.6060525321030799,0.0044011601332902,0.0,0.0,0.914462817847874,0.0,0.0,0.566881880018284,0.0392671506237147,0.9943311811998172,10.09475806451613,11.626732204688071,NORTH
12000,1.1123911825713175,0.0165466223291786,0.0,0.0,0.6472224082794331,0.0,0.0,0.9840589315365088,0.073914166312987,0.9901594106846348,12.940199335548172,19.67211186746545,NORTH
7000,5.734660197428828,0.1000291683939425,0.0,0.0,0.026601152633841,0.0,0.0,5.267089535049695,0.3373784909181134,0.947329104649503,44.675387876218736,40.18563480322021,CENTRAL_AND_WESTERN
12000,1.9538508500295373,0.0340377031340489,0.0,0.0,0.0090517811045706,0.0,0.0,1.7947469440810868,0.1148024031596326,0.9820525305591892,44.675387876218736,40.18563480322021,CENTRAL_AND_WESTERN
7000,5.3062048737866645,0.336836614139978,0.0,0.0011124623582088,0.3165214064974344,0.0,0.0,4.8244740958318255,0.2853597308603458,0.9517552590416818,56.29812855980472,39.77468714773344,EASTERN
12000,2.1863120155932685,0.1183544944092186,0.0,0.0003785462191127,0.1080011653634409,0.0,0.0,2.013539184014238,0.1038652021241512,0.9798646081598577,53.968913043478246,38.09801453896978,EASTERN
7000,3.020740139606678,0.0220163235305171,0.0,9.426023064980368e-05,1.6938794603787146,0.0,0.0,2.572021534894373,0.1151709293837237,0.9742797846510562,45.19672131147541,38.51538870767036,HONG_KONG
12000,5.602200091372529,0.1514680613954654,0.0,0.000410620880931,0.8310222141348377,0.0,0.0,5.060755718946402,0.2540543507539626,0.949392442810536,48.34434738702348,38.719953266945495,HONG_KONG
7000,0.0987182012756001,0.0145594285624142,0.0,0.0,0.0879200747746772,0.0,0.0,0.0987182012756001,0.0,0.999012817987244,6.0,0.816496580927726,ISLANDS
12000,0.2228815311079965,0.0084033709566181,0.0,0.0243433397763878,0.0691175916286831,0.0,0.0,0.2110285071868016,0.0103711141157267,0.997889714928132,9.373056994818652,6.301099398275114,ISLANDS
7000,25.385186724441443,0.3054096673539961,0.0,0.0011965950045205,0.1641118661977265,0.0,0.0,22.39352048759397,1.7770221508128514,0.7760647951240602,37.50499854397205,32.77950957686226,KOWLOON
12000,12.1859239114893,0.1427748207281087,0.0,0.0004071746890382,0.1257560267437945,0.0,0.0,10.796683743025133,0.8015026910116092,0.8920331625697486,41.26577080172716,36.56426454580565,KOWLOON
7000,8.037223369215312,0.2024928914085173,0.0,0.0001387837569445,0.0748193523304549,0.0,0.0,7.174550217951055,0.4585290523638666,0.9282544978204894,35.4101873088685,30.66883783504491,KOWLOON_CITY
12000,2.74685612982286,0.0870380328202912,0.0,4.722502840472788e-05,0.0254593629457791,0.0,0.0,2.453307626962114,0.1560272469849225,0.9754669237303788,35.080305314738034,30.58073842123329,KOWLOON_CITY
7000,7.733728634931983,0.0073594810670769,0.0,0.0025756502076252,0.9222303614582394,0.0,0.0,5.8137178276033215,0.5659596409044515,0.9418628217239668,59.04364326375712,41.13407772394434,KWAI_TSING
12000,3.11009482278354,0.0025042678631025,0.0,0.0008764365289835,0.3173074431638966,0.0,0.0,2.300026176977592,0.2509758597777023,0.976999738230224,57.5953947368421,40.61850819209968,KWAI_TSING
7000,8.449702023668769,0.1181313320302739,0.0,0.0,0.0823986884429495,0.0,0.0,7.645152643527821,0.3635759115172024,0.9235484735647218,52.887938205585264,40.618265142983,KWUN_TONG
12000,2.887654475595909,0.0401974671491893,0.0,0.0,0.0280768177465378,0.0,0.0,2.613884200409066,0.1237168032246002,0.9738611579959092,52.887938205585264,40.618265142983,KWUN_TONG
7000,0.3239554781874157,0.0666719026674671,0.0,0.0,0.0,0.0,0.0,0.3105530552317064,0.0211344118763878,0.9968944694476828,9.104247104247104,0.7629637443135362,SAI_KUNG
12000,2.1461645121622226,0.4846459405406016,0.0,2.86129392040375e-05,1.108672464065748,0.0,0.0,2.009039363712972,0.1103806542126399,0.9799096063628704,44.67343336275375,53.701563518508,SAI_KUNG
7000,7.576888831894663,0.0123968712754824,0.0,0.0,0.1495374959835826,0.0,0.0,6.357046887685534,0.7196533534337127,0.9364295311231446,40.80573294629899,35.37947089165567,SHAM_SHUI_PO
12000,2.578246894186308,0.0042183798090182,0.0,0.0,0.0508842868277454,0.0,0.0,2.163161788170713,0.2448820438767427,0.9783683821182928,40.80573294629899,35.37947089165567,SHAM_SHUI_PO
