Series,Variable,Model,Scenarios,Unit,2020,2025,2030,2035,2040,2045,2050
Emissions and CCS,Fossil energy CCS,REMIND-MAgPIE,Low Demand,Mt CO2/yr,0,0.009,0.392,2.283,6.702,9.996,10.307
Emissions and CCS,Fossil energy CCS,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),Mt CO2/yr,0,0,0,0,0,0,0
Emissions and CCS,Fossil energy CCS,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),Mt CO2/yr,0,0.007,0.54,6.887,16.229,15.708,11.454
Primary energy,Gas,GCAM,Below 2°C,EJ/yr,0.075,0.054,0.064,0.076,0.089,0.101,0.108
Primary energy,Gas,GCAM,Current Policies (Hot house world scenario),EJ/yr,0.113,0.099,0.111,0.126,0.138,0.155,0.17
Primary energy,Gas,GCAM,Delayed Transition (Disorderly scenario),EJ/yr,0.113,0.099,0.111,0.074,0.087,0.099,0.098
Primary energy,Gas,GCAM,Fragmented World,EJ/yr,0.097,0.083,0.094,0.11,0.125,0.143,0.154
Primary energy,Gas,GCAM,Low Demand,EJ/yr,0.072,0.052,0.056,0.067,0.076,0.078,0.075
Primary energy,Gas,GCAM,Nationally Determined Contributions (NDCs),EJ/yr,0.117,0.1,0.116,0.132,0.145,0.164,0.184
Primary energy,Gas,GCAM,Net Zero 2050 (Orderly scenario),EJ/yr,0.07,0.048,0.055,0.066,0.073,0.076,0.074
Primary energy,Gas,MESSAGEix-GLOBIOM,Below 2°C,EJ/yr,0.11,0.095,0.114,0.123,0.132,0.139,0.154
Primary energy,Gas,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),EJ/yr,0.125,0.124,0.129,0.128,0.141,0.163,0.185
Primary energy,Gas,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),EJ/yr,0.124,0.123,0.127,0.134,0.133,0.136,0.147
Primary energy,Gas,MESSAGEix-GLOBIOM,Fragmented World,EJ/yr,0.104,0.104,0.112,0.115,0.139,0.177,0.204
Primary energy,Gas,MESSAGEix-GLOBIOM,Low Demand,EJ/yr,0.094,0.088,0.082,0.079,0.079,0.079,0.08
Primary energy,Gas,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),EJ/yr,0.125,0.109,0.117,0.125,0.151,0.19,0.221
Primary energy,Gas,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),EJ/yr,0.118,0.104,0.124,0.115,0.101,0.1,0.098
Primary energy,Gas,REMIND-MAgPIE,Below 2°C,EJ/yr,0.114,0.098,0.105,0.113,0.112,0.108,0.104
Primary energy,Gas,REMIND-MAgPIE,Current Policies (Hot house world scenario),EJ/yr,0.116,0.104,0.109,0.118,0.126,0.133,0.137
Primary energy,Gas,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),EJ/yr,0.116,0.104,0.109,0.109,0.109,0.11,0.085
Primary energy,Gas,REMIND-MAgPIE,Fragmented World,EJ/yr,0.115,0.102,0.107,0.115,0.122,0.127,0.126
Primary energy,Gas,REMIND-MAgPIE,Low Demand,EJ/yr,0.112,0.096,0.098,0.098,0.098,0.088,0.068
Primary energy,Gas,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),EJ/yr,0.116,0.102,0.108,0.116,0.122,0.125,0.122
Primary energy,Gas,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),EJ/yr,0.088,0.066,0.066,0.065,0.061,0.062,0.055
Final energy,Gases,GCAM,Below 2°C,EJ/yr,0.035,0.043,0.052,0.06,0.069,0.077,0.082
Final energy,Gases,GCAM,Current Policies (Hot house world scenario),EJ/yr,0.04,0.052,0.063,0.076,0.087,0.099,0.108
Final energy,Gases,GCAM,Delayed Transition (Disorderly scenario),EJ/yr,0.039,0.05,0.061,0.061,0.069,0.077,0.081
Final energy,Gases,GCAM,Fragmented World,EJ/yr,0.037,0.047,0.057,0.068,0.078,0.088,0.095
Final energy,Gases,GCAM,Low Demand,EJ/yr,0.034,0.041,0.048,0.055,0.061,0.06,0.058
Final energy,Gases,GCAM,Nationally Determined Contributions (NDCs),EJ/yr,0.041,0.052,0.065,0.077,0.09,0.103,0.113
Final energy,Gases,GCAM,Net Zero 2050 (Orderly scenario),EJ/yr,0.034,0.041,0.048,0.055,0.06,0.058,0.057
Final energy,Gases,MESSAGEix-GLOBIOM,Below 2°C,EJ/yr,0.048,0.064,0.078,0.088,0.1,0.118,0.137
Final energy,Gases,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),EJ/yr,0.048,0.066,0.082,0.096,0.109,0.124,0.142
Final energy,Gases,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),EJ/yr,0.046,0.061,0.076,0.085,0.096,0.109,0.127
Final energy,Gases,MESSAGEix-GLOBIOM,Fragmented World,EJ/yr,0.046,0.062,0.076,0.088,0.1,0.118,0.145
Final energy,Gases,MESSAGEix-GLOBIOM,Low Demand,EJ/yr,0.04,0.052,0.061,0.067,0.069,0.073,0.076
Final energy,Gases,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),EJ/yr,0.051,0.068,0.083,0.099,0.111,0.129,0.157
Final energy,Gases,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),EJ/yr,0.053,0.072,0.089,0.104,0.112,0.122,0.133
Final energy,Gases,REMIND-MAgPIE,Below 2°C,EJ/yr,0.037,0.046,0.054,0.06,0.065,0.066,0.067
Final energy,Gases,REMIND-MAgPIE,Current Policies (Hot house world scenario),EJ/yr,0.038,0.048,0.057,0.065,0.071,0.075,0.078
Final energy,Gases,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),EJ/yr,0.037,0.047,0.056,0.058,0.062,0.068,0.058
Final energy,Gases,REMIND-MAgPIE,Fragmented World,EJ/yr,0.036,0.045,0.054,0.061,0.067,0.07,0.072
Final energy,Gases,REMIND-MAgPIE,Low Demand,EJ/yr,0.035,0.043,0.048,0.052,0.052,0.048,0.037
Final energy,Gases,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),EJ/yr,0.037,0.047,0.056,0.063,0.069,0.073,0.075
Final energy,Gases,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),EJ/yr,0.034,0.041,0.047,0.05,0.052,0.052,0.035
Primary energy,Geothermal,GCAM,Below 2°C,EJ/yr,0,0,0,0,0,0,0
Primary energy,Geothermal,GCAM,Current Policies (Hot house world scenario),EJ/yr,0,0,0,0,0,0,0
Primary energy,Geothermal,GCAM,Delayed Transition (Disorderly scenario),EJ/yr,0,0,0,0,0,0,0
Primary energy,Geothermal,GCAM,Fragmented World,EJ/yr,0,0,0,0,0,0,0
Primary energy,Geothermal,GCAM,Low Demand,EJ/yr,0,0,0,0,0,0,0
Primary energy,Geothermal,GCAM,Nationally Determined Contributions (NDCs),EJ/yr,0,0,0,0,0,0,0
Primary energy,Geothermal,GCAM,Net Zero 2050 (Orderly scenario),EJ/yr,0,0,0,0,0,0,0
Primary energy,Geothermal,MESSAGEix-GLOBIOM,Below 2°C,EJ/yr,0,0,0,0,0,0,0
Primary energy,Geothermal,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),EJ/yr,0,0,0,0,0,0,0
Primary energy,Geothermal,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),EJ/yr,0,0,0,0,0,0,0
Primary energy,Geothermal,MESSAGEix-GLOBIOM,Fragmented World,EJ/yr,0,0,0,0,0,0,0
Primary energy,Geothermal,MESSAGEix-GLOBIOM,Low Demand,EJ/yr,0,0,0,0,0,0,0
Primary energy,Geothermal,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),EJ/yr,0,0,0,0,0,0,0
Primary energy,Geothermal,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),EJ/yr,0,0,0,0,0,0,0
Primary energy,Geothermal,REMIND-MAgPIE,Below 2°C,EJ/yr,0,0,0,0,0,0.001,0.001
Primary energy,Geothermal,REMIND-MAgPIE,Current Policies (Hot house world scenario),EJ/yr,0,0,0,0,0,0,0
Primary energy,Geothermal,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),EJ/yr,0,0,0,0,0,0.001,0.001
Primary energy,Geothermal,REMIND-MAgPIE,Fragmented World,EJ/yr,0,0,0,0,0,0,0
Primary energy,Geothermal,REMIND-MAgPIE,Low Demand,EJ/yr,0,0,0,0,0.001,0.002,0.003
Primary energy,Geothermal,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),EJ/yr,0,0,0,0,0,0,0
Primary energy,Geothermal,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),EJ/yr,0,0,0,0.001,0.003,0.004,0.006
Final energy,Heat,GCAM,Below 2°C,EJ/yr,0.005,0.008,0.008,0.008,0.008,0.008,0.007
Final energy,Heat,GCAM,Current Policies (Hot house world scenario),EJ/yr,0.003,0.005,0.008,0.01,0.013,0.016,0.018
Final energy,Heat,GCAM,Delayed Transition (Disorderly scenario),EJ/yr,0.003,0.004,0.006,0.007,0.007,0.006,0.004
Final energy,Heat,GCAM,Fragmented World,EJ/yr,0.003,0.005,0.007,0.007,0.006,0.006,0.006
Final energy,Heat,GCAM,Low Demand,EJ/yr,0.008,0.011,0.011,0.011,0.01,0.005,0.002
Final energy,Heat,GCAM,Nationally Determined Contributions (NDCs),EJ/yr,0.004,0.006,0.008,0.011,0.014,0.017,0.018
Final energy,Heat,GCAM,Net Zero 2050 (Orderly scenario),EJ/yr,0.008,0.012,0.012,0.011,0.009,0.003,0.001
Final energy,Heat,MESSAGEix-GLOBIOM,Below 2°C,EJ/yr,0.004,0.007,0.013,0.016,0.018,0.015,0.017
Final energy,Heat,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),EJ/yr,0.003,0.005,0.008,0.011,0.013,0.012,0.011
Final energy,Heat,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),EJ/yr,0.002,0.004,0.006,0.01,0.011,0.01,0.009
Final energy,Heat,MESSAGEix-GLOBIOM,Fragmented World,EJ/yr,0.002,0.004,0.007,0.009,0.01,0.009,0.009
Final energy,Heat,MESSAGEix-GLOBIOM,Low Demand,EJ/yr,0.004,0.007,0.008,0.008,0.006,0.005,0.005
Final energy,Heat,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),EJ/yr,0.003,0.006,0.01,0.013,0.015,0.014,0.014
Final energy,Heat,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),EJ/yr,0.007,0.013,0.018,0.016,0.017,0.013,0.01
Final energy,Heat,REMIND-MAgPIE,Below 2°C,EJ/yr,0.002,0.004,0.005,0.006,0.007,0.007,0.007
Final energy,Heat,REMIND-MAgPIE,Current Policies (Hot house world scenario),EJ/yr,0.003,0.004,0.006,0.008,0.009,0.01,0.011
Final energy,Heat,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),EJ/yr,0.002,0.003,0.005,0.005,0.005,0.005,0.006
Final energy,Heat,REMIND-MAgPIE,Fragmented World,EJ/yr,0.002,0.003,0.004,0.005,0.006,0.007,0.007
Final energy,Heat,REMIND-MAgPIE,Low Demand,EJ/yr,0.003,0.005,0.007,0.008,0.008,0.009,0.011
Final energy,Heat,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),EJ/yr,0.002,0.004,0.006,0.007,0.009,0.01,0.01
Final energy,Heat,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),EJ/yr,0.003,0.005,0.007,0.008,0.01,0.012,0.016
Primary energy,Hydro,GCAM,Below 2°C,EJ/yr,0.003,0.004,0.005,0.006,0.008,0.009,0.01
Primary energy,Hydro,GCAM,Current Policies (Hot house world scenario),EJ/yr,0.002,0.003,0.003,0.004,0.005,0.006,0.007
Primary energy,Hydro,GCAM,Delayed Transition (Disorderly scenario),EJ/yr,0.002,0.002,0.003,0.005,0.005,0.006,0.006
Primary energy,Hydro,GCAM,Fragmented World,EJ/yr,0.002,0.003,0.004,0.004,0.005,0.006,0.007
Primary energy,Hydro,GCAM,Low Demand,EJ/yr,0.003,0.005,0.006,0.007,0.009,0.01,0.011
Primary energy,Hydro,GCAM,Nationally Determined Contributions (NDCs),EJ/yr,0.002,0.003,0.003,0.004,0.005,0.006,0.007
Primary energy,Hydro,GCAM,Net Zero 2050 (Orderly scenario),EJ/yr,0.004,0.005,0.006,0.008,0.01,0.011,0.013
Primary energy,Hydro,MESSAGEix-GLOBIOM,Below 2°C,EJ/yr,0.003,0.005,0.006,0.007,0.009,0.01,0.011
Primary energy,Hydro,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),EJ/yr,0.002,0.004,0.005,0.006,0.007,0.009,0.01
Primary energy,Hydro,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),EJ/yr,0.002,0.003,0.004,0.006,0.007,0.008,0.009
Primary energy,Hydro,MESSAGEix-GLOBIOM,Fragmented World,EJ/yr,0.002,0.003,0.004,0.005,0.007,0.008,0.009
Primary energy,Hydro,MESSAGEix-GLOBIOM,Low Demand,EJ/yr,0.003,0.005,0.006,0.007,0.009,0.01,0.012
Primary energy,Hydro,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),EJ/yr,0.003,0.004,0.005,0.006,0.007,0.009,0.01
Primary energy,Hydro,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),EJ/yr,0.005,0.007,0.008,0.01,0.011,0.012,0.014
Primary energy,Hydro,REMIND-MAgPIE,Below 2°C,EJ/yr,0.002,0.004,0.005,0.006,0.007,0.008,0.009
Primary energy,Hydro,REMIND-MAgPIE,Current Policies (Hot house world scenario),EJ/yr,0.002,0.003,0.005,0.006,0.007,0.009,0.01
Primary energy,Hydro,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),EJ/yr,0.002,0.003,0.004,0.005,0.005,0.006,0.007
Primary energy,Hydro,REMIND-MAgPIE,Fragmented World,EJ/yr,0.002,0.003,0.004,0.005,0.006,0.007,0.008
Primary energy,Hydro,REMIND-MAgPIE,Low Demand,EJ/yr,0.003,0.004,0.005,0.006,0.008,0.009,0.011
Primary energy,Hydro,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),EJ/yr,0.002,0.004,0.005,0.006,0.007,0.008,0.01
Primary energy,Hydro,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),EJ/yr,0.003,0.005,0.006,0.007,0.008,0.01,0.011
Final energy,Hydrogen,GCAM,Below 2°C,EJ/yr,0,0.001,0.004,0.009,0.013,0.016,0.02
Final energy,Hydrogen,GCAM,Current Policies (Hot house world scenario),EJ/yr,0,0.001,0.003,0.007,0.011,0.013,0.016
Final energy,Hydrogen,GCAM,Delayed Transition (Disorderly scenario),EJ/yr,0,0.001,0.003,0.008,0.012,0.015,0.022
Final energy,Hydrogen,GCAM,Fragmented World,EJ/yr,0,0.001,0.003,0.007,0.011,0.013,0.016
Final energy,Hydrogen,GCAM,Low Demand,EJ/yr,0,0.001,0.005,0.011,0.016,0.031,0.069
Final energy,Hydrogen,GCAM,Nationally Determined Contributions (NDCs),EJ/yr,0,0.001,0.003,0.007,0.011,0.014,0.016
Final energy,Hydrogen,GCAM,Net Zero 2050 (Orderly scenario),EJ/yr,0,0.001,0.005,0.012,0.018,0.045,0.07
Final energy,Hydrogen,MESSAGEix-GLOBIOM,Below 2°C,EJ/yr,0,0,0.001,0.001,0.002,0.003,0.006
Final energy,Hydrogen,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),EJ/yr,0,0,0.001,0.001,0.001,0.001,0.002
Final energy,Hydrogen,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),EJ/yr,0,0,0.001,0.001,0.002,0.003,0.006
Final energy,Hydrogen,MESSAGEix-GLOBIOM,Fragmented World,EJ/yr,0,0,0.001,0.001,0.001,0.001,0.002
Final energy,Hydrogen,MESSAGEix-GLOBIOM,Low Demand,EJ/yr,0,0.001,0.003,0.007,0.007,0.01,0.019
Final energy,Hydrogen,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),EJ/yr,0,0,0.001,0.001,0.001,0.002,0.002
Final energy,Hydrogen,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),EJ/yr,0,0.001,0.001,0.002,0.002,0.002,0.002
Emissions and CCS,Industrial processes CCS,GCAM,Below 2°C,Mt CO2/yr,0,0.031,0.282,0.686,1.204,1.601,1.892
Emissions and CCS,Industrial processes CCS,GCAM,Current Policies (Hot house world scenario),Mt CO2/yr,0,0.029,0.127,0.241,0.312,0.377,0.429
Emissions and CCS,Industrial processes CCS,GCAM,Delayed Transition (Disorderly scenario),Mt CO2/yr,0,0.028,0.122,0.407,0.89,1.411,1.954
Emissions and CCS,Industrial processes CCS,GCAM,Fragmented World,Mt CO2/yr,0,0.027,0.12,0.368,0.727,1.128,1.48
Emissions and CCS,Industrial processes CCS,GCAM,Low Demand,Mt CO2/yr,0,0.029,0.311,0.84,1.804,2.701,3.524
Emissions and CCS,Industrial processes CCS,GCAM,Nationally Determined Contributions (NDCs),Mt CO2/yr,0,0.026,0.124,0.241,0.315,0.384,0.456
Emissions and CCS,Industrial processes CCS,GCAM,Net Zero 2050 (Orderly scenario),Mt CO2/yr,0,0.037,0.419,1.047,2.132,2.87,3.523
Emissions and CCS,Industrial processes CCS,MESSAGEix-GLOBIOM,Below 2°C,Mt CO2/yr,0,0,0.03,0.035,0.378,0.528,0.555
Emissions and CCS,Industrial processes CCS,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),Mt CO2/yr,0,0,0,0,0,0,0
Emissions and CCS,Industrial processes CCS,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),Mt CO2/yr,0,0,0,0,0.161,0.306,0.319
Emissions and CCS,Industrial processes CCS,MESSAGEix-GLOBIOM,Fragmented World,Mt CO2/yr,0,0,0,0,0,0,0.159
Emissions and CCS,Industrial processes CCS,MESSAGEix-GLOBIOM,Low Demand,Mt CO2/yr,0,0,0,0.203,1.581,3.494,4
Emissions and CCS,Industrial processes CCS,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),Mt CO2/yr,0,0,0,0,0,0,0
Emissions and CCS,Industrial processes CCS,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),Mt CO2/yr,0,0,1.15,3.256,3.262,3.089,2.95
Emissions and CCS,Industrial processes CCS,REMIND-MAgPIE,Below 2°C,Mt CO2/yr,0,0,0,0,0.225,0.485,0.725
Emissions and CCS,Industrial processes CCS,REMIND-MAgPIE,Current Policies (Hot house world scenario),Mt CO2/yr,0,0,0,0,0,0,0
Emissions and CCS,Industrial processes CCS,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),Mt CO2/yr,0,0,0,0,0.213,0.427,0.679
Emissions and CCS,Industrial processes CCS,REMIND-MAgPIE,Fragmented World,Mt CO2/yr,0,0,0,0,0,0,0
Emissions and CCS,Industrial processes CCS,REMIND-MAgPIE,Low Demand,Mt CO2/yr,0,0,0,0.19,0.392,0.666,1.01
Emissions and CCS,Industrial processes CCS,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),Mt CO2/yr,0,0,0,0,0,0,0
Emissions and CCS,Industrial processes CCS,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),Mt CO2/yr,0,0,0.18,0.36,0.581,0.846,1.02
Final energy,Liquids,GCAM,Below 2°C,EJ/yr,0.116,0.128,0.14,0.15,0.159,0.164,0.166
Final energy,Liquids,GCAM,Current Policies (Hot house world scenario),EJ/yr,0.125,0.141,0.157,0.17,0.183,0.192,0.201
Final energy,Liquids,GCAM,Delayed Transition (Disorderly scenario),EJ/yr,0.124,0.139,0.155,0.152,0.162,0.168,0.167
Final energy,Liquids,GCAM,Fragmented World,EJ/yr,0.121,0.136,0.15,0.161,0.173,0.179,0.185
Final energy,Liquids,GCAM,Low Demand,EJ/yr,0.113,0.122,0.131,0.137,0.141,0.13,0.117
Final energy,Liquids,GCAM,Nationally Determined Contributions (NDCs),EJ/yr,0.124,0.14,0.156,0.168,0.181,0.19,0.199
Final energy,Liquids,GCAM,Net Zero 2050 (Orderly scenario),EJ/yr,0.111,0.121,0.129,0.135,0.139,0.124,0.114
Final energy,Liquids,MESSAGEix-GLOBIOM,Below 2°C,EJ/yr,0.128,0.147,0.172,0.202,0.222,0.215,0.206
Final energy,Liquids,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),EJ/yr,0.138,0.16,0.186,0.229,0.254,0.255,0.246
Final energy,Liquids,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),EJ/yr,0.135,0.158,0.183,0.205,0.223,0.217,0.208
Final energy,Liquids,MESSAGEix-GLOBIOM,Fragmented World,EJ/yr,0.134,0.156,0.181,0.22,0.245,0.246,0.243
Final energy,Liquids,MESSAGEix-GLOBIOM,Low Demand,EJ/yr,0.129,0.15,0.164,0.181,0.189,0.183,0.165
Final energy,Liquids,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),EJ/yr,0.137,0.16,0.185,0.228,0.251,0.25,0.241
Final energy,Liquids,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),EJ/yr,0.124,0.141,0.161,0.181,0.186,0.173,0.152
Final energy,Liquids,REMIND-MAgPIE,Below 2°C,EJ/yr,0.116,0.128,0.136,0.142,0.143,0.143,0.141
Final energy,Liquids,REMIND-MAgPIE,Current Policies (Hot house world scenario),EJ/yr,0.116,0.128,0.138,0.145,0.151,0.155,0.158
Final energy,Liquids,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),EJ/yr,0.116,0.127,0.137,0.141,0.139,0.145,0.146
Final energy,Liquids,REMIND-MAgPIE,Fragmented World,EJ/yr,0.116,0.128,0.138,0.145,0.149,0.151,0.151
Final energy,Liquids,REMIND-MAgPIE,Low Demand,EJ/yr,0.113,0.123,0.125,0.126,0.121,0.113,0.11
Final energy,Liquids,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),EJ/yr,0.118,0.13,0.14,0.147,0.152,0.155,0.157
Final energy,Liquids,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),EJ/yr,0.115,0.125,0.131,0.131,0.124,0.115,0.117
Emissions and CCS,LULUCF CO2 emissions,GCAM,Below 2°C,Mt CO2/yr,0,0,0,0,0,0,0
Emissions and CCS,LULUCF CO2 emissions,GCAM,Current Policies (Hot house world scenario),Mt CO2/yr,0,0,0,0,0,0,0
Emissions and CCS,LULUCF CO2 emissions,GCAM,Delayed Transition (Disorderly scenario),Mt CO2/yr,0,0,0,0,0,0,0
Emissions and CCS,LULUCF CO2 emissions,GCAM,Fragmented World,Mt CO2/yr,0,0,0,0,0,0,0
Emissions and CCS,LULUCF CO2 emissions,GCAM,Low Demand,Mt CO2/yr,0,0,0,0,0,0,0
Emissions and CCS,LULUCF CO2 emissions,GCAM,Nationally Determined Contributions (NDCs),Mt CO2/yr,0,0,0,0,0,0,0
Emissions and CCS,LULUCF CO2 emissions,GCAM,Net Zero 2050 (Orderly scenario),Mt CO2/yr,0,0,0,0,0,0,0
Emissions and CCS,LULUCF CO2 emissions,MESSAGEix-GLOBIOM,Below 2°C,Mt CO2/yr,0,0,0,0,0,0,0
Emissions and CCS,LULUCF CO2 emissions,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),Mt CO2/yr,0,0,0,0,0,0,0
Emissions and CCS,LULUCF CO2 emissions,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),Mt CO2/yr,0,0,0,0,0,0,0
Emissions and CCS,LULUCF CO2 emissions,MESSAGEix-GLOBIOM,Fragmented World,Mt CO2/yr,0,0,0,0,0,0,0
Emissions and CCS,LULUCF CO2 emissions,MESSAGEix-GLOBIOM,Low Demand,Mt CO2/yr,0,0,0,0,0,0,0
Emissions and CCS,LULUCF CO2 emissions,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),Mt CO2/yr,0,0,0,0,0,0,0
Emissions and CCS,LULUCF CO2 emissions,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),Mt CO2/yr,0,0,0,0,0,0,0
Emissions and CCS,LULUCF CO2 emissions,REMIND-MAgPIE,Below 2°C,Mt CO2/yr,0,0,0,0,0,0,0
Emissions and CCS,LULUCF CO2 emissions,REMIND-MAgPIE,Current Policies (Hot house world scenario),Mt CO2/yr,0,0,0,0,0,0,0
Emissions and CCS,LULUCF CO2 emissions,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),Mt CO2/yr,0,0,0,0,0,0,0
Emissions and CCS,LULUCF CO2 emissions,REMIND-MAgPIE,Fragmented World,Mt CO2/yr,0,0,0,0,0,0,0
Emissions and CCS,LULUCF CO2 emissions,REMIND-MAgPIE,Low Demand,Mt CO2/yr,0,0,0,0,0,0,0
Emissions and CCS,LULUCF CO2 emissions,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),Mt CO2/yr,0,0,0,0,0,0,0
Emissions and CCS,LULUCF CO2 emissions,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),Mt CO2/yr,0,0,0,0,0,0,0
Primary energy,Nuclear,GCAM,Below 2°C,EJ/yr,0,0.001,0.001,0.001,0.001,0.001,0.001
Primary energy,Nuclear,GCAM,Current Policies (Hot house world scenario),EJ/yr,0,0,0,0.001,0.001,0.001,0.001
Primary energy,Nuclear,GCAM,Delayed Transition (Disorderly scenario),EJ/yr,0,0,0,0.001,0.001,0.001,0.001
Primary energy,Nuclear,GCAM,Fragmented World,EJ/yr,0,0,0,0.001,0.001,0.001,0.001
Primary energy,Nuclear,GCAM,Low Demand,EJ/yr,0.001,0.001,0.001,0.001,0.001,0.002,0.003
Primary energy,Nuclear,GCAM,Nationally Determined Contributions (NDCs),EJ/yr,0,0,0.001,0.001,0.001,0.001,0.001
Primary energy,Nuclear,GCAM,Net Zero 2050 (Orderly scenario),EJ/yr,0.001,0.001,0.001,0.001,0.002,0.003,0.004
Primary energy,Nuclear,MESSAGEix-GLOBIOM,Below 2°C,EJ/yr,0.001,0.001,0.002,0.003,0.005,0.007,0.011
Primary energy,Nuclear,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),EJ/yr,0.001,0.001,0.001,0.002,0.002,0.002,0.003
Primary energy,Nuclear,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),EJ/yr,0,0.001,0.001,0.002,0.003,0.005,0.008
Primary energy,Nuclear,MESSAGEix-GLOBIOM,Fragmented World,EJ/yr,0.001,0.001,0.001,0.002,0.002,0.002,0.002
Primary energy,Nuclear,MESSAGEix-GLOBIOM,Low Demand,EJ/yr,0.001,0.001,0.002,0.003,0.005,0.007,0.009
Primary energy,Nuclear,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),EJ/yr,0.001,0.001,0.001,0.001,0.002,0.002,0.002
Primary energy,Nuclear,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),EJ/yr,0.001,0.001,0.002,0.004,0.007,0.011,0.017
Primary energy,Nuclear,REMIND-MAgPIE,Below 2°C,EJ/yr,0.001,0.001,0.002,0.002,0.003,0.004,0.005
Primary energy,Nuclear,REMIND-MAgPIE,Current Policies (Hot house world scenario),EJ/yr,0.001,0.001,0.002,0.002,0.003,0.004,0.005
Primary energy,Nuclear,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),EJ/yr,0,0.001,0.001,0.002,0.002,0.003,0.003
Primary energy,Nuclear,REMIND-MAgPIE,Fragmented World,EJ/yr,0.001,0.001,0.001,0.002,0.003,0.003,0.004
Primary energy,Nuclear,REMIND-MAgPIE,Low Demand,EJ/yr,0.001,0.001,0.002,0.003,0.004,0.004,0.005
Primary energy,Nuclear,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),EJ/yr,0.001,0.001,0.002,0.002,0.003,0.004,0.004
