Series,Variable,Model,Scenarios,Unit,2020,2025,2030,2035,2040,2045,2050
Surface temperature,95th percentile,GCAM,Current Policies (Hot house world scenario),Degree Celsius,27.048,27.216,27.39,27.565,27.737,27.936,28.126
Surface temperature,95th percentile,GCAM,Delayed Transition (Disorderly scenario),Degree Celsius,27.077,27.259,27.423,27.645,27.805,27.922,28.042
Surface temperature,95th percentile,GCAM,Fragmented World,Degree Celsius,27.048,27.216,27.39,27.574,27.741,27.914,28.069
Surface temperature,95th percentile,GCAM,Low Demand,Degree Celsius,27.077,27.255,27.428,27.607,27.729,27.812,27.853
Surface temperature,95th percentile,GCAM,Nationally Determined Contributions (NDCs),Degree Celsius,27.048,27.22,27.399,27.58,27.747,27.926,28.094
Surface temperature,95th percentile,GCAM,Net Zero 2050 (Orderly scenario),Degree Celsius,27.078,27.276,27.468,27.646,27.757,27.824,27.843
Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Below 2°C,Degree Celsius,27.064,27.269,27.467,27.65,27.771,27.86,27.978
Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),Degree Celsius,27.035,27.22,27.381,27.561,27.74,27.924,28.1
Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),Degree Celsius,27.063,27.263,27.413,27.646,27.81,27.909,28.03
Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Fragmented World,Degree Celsius,27.035,27.219,27.382,27.592,27.77,27.933,28.066
Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Low Demand,Degree Celsius,27.064,27.27,27.503,27.672,27.756,27.799,27.852
Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),Degree Celsius,27.035,27.222,27.387,27.564,27.734,27.895,28.041
Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),Degree Celsius,27.064,27.27,27.481,27.635,27.701,27.741,27.795
