District,Development or Invetsment ,Project Name,"28 Canton Road, Tsim Sha Tsu",Lease Expiry,Group's Interest (%),Residential,Shopping Centre/ Shops,Office,Hotel,Industrial,Total (square feet),group's ownership*total area (sq ft),
New Territories,Invested,Citygate / Novotel Citygate Hong Kong / The Silveri Hong Kong – MGallery,"20 Tat Tung Road / 51 Man Tung Road / 16 Tat Tung Road, Tung Chung",2047/2063/2063,26.7,-,"2,22,000",43000,98000,-,"3,63,000",96921,#DIV/0!
New Territories,Invested,ALVA Hotel by Royal,"1 Yuen Hong Street, Sha Tin",2047,100,-,-,-,344000,-,344000,344000,#DIV/0!
New Territories,Invested,Royal View Hotel," 353 Castle Peak Road, Ting Kau",2047,100,-,-,-,310000,-,310000,310000,#DIV/0!
New Territories,Invested,V City,"83 Tuen Mun Heung Sze Wui Road, Tuen Mun",2056,100,-,-,269000,,-,269000,269000,#DIV/0!
New Territories,Invested,"PopWalk (Phases 1, 2 & 3) / Ocean PopWalk","12 Tong Chun Street / 19 Tong Yin Street / 19 Chi Shin Street / 28 Tong Chun Street, Tseung Kwan O",2060/2061/2062/2062,100,-,-,242000,,-,242000,242000,#DIV/0!
,FY2024/25 Projects Under Development,New Kowloon Inland Lot No. 6568 Phase 1,Cullinan Sky/Cullinan Sky Mall,,100,"5,71,000","2,20,000",-,-,-,"7,91,000",791000,#DIV/0!
,FY2024/25 Projects Under Development,Tin Wing Stop Development Phase 1,YOHO WEST JV,,100,"7,46,000","2,000",-,-,-,"7,48,000",748000,#DIV/0!
,FY2024/25 Projects Under Development,Tuen Mun Town Lot No. 483 Phases 3A & 3B,NOVO LAND,,100,"6,94,000",-,-,-,-,"6,94,000",694000,#DIV/0!
,FY2024/25 Projects Under Development,Kwun Tong Inland Lot No. 240 Phase 2,-,,71.9,-,"3,60,000",-,-,-,"3,60,000",258840,#DIV/0!
,FY2024/25 Projects Under Development,Tuen Mun Town Lot No. 463 Phase 2,Grand Jeté Phase 2,,59.1,"1,04,000",-,-,-,-,"1,04,000",61464,#DIV/0!
,FY2025/26 Projects Under Development,High Speed Rail West Kowloon Terminus Development Phase 1,International Gateway Centre JV,,100,-,-,-,-,"11,54,000","11,54,000",1154000,#DIV/0!
,FY2025/26 Projects Under Development,"Tai Po Town Lot No. 253, Sai Sha Phases 1A & 1B",-,,100,"8,62,000","57,000",-,-,-,"9,19,000",919000,#DIV/0!
,FY2025/26 Projects Under Development,New Kowloon Inland Lot No. 6568 Phase 2,Cullinan Sky,,100,"4,95,000",-,-,-,-,"4,95,000",495000,#DIV/0!
,FY2025/26 Projects Under Development,New Kowloon Inland Lot No. 6551 Phases 1 & 2A,Cullinan Harbour,,100,"4,39,000","24,000",-,-,-,"4,63,000",463000,#DIV/0!
,FY2026/27 Projects Under Development,"Tai Po Town Lot No. 253, Sai Sha Phases 2A & 2B",-,,100,"8,46,000",-,-,-,-,"8,46,000",846000,#DIV/0!
,FY2026/27 Projects Under Development,"Artist Square Towers Project, West Kowloon Cultural District",-,,100,-,27000,672000,-,-,699000,699000,#DIV/0!
,FY2026/27 Projects Under Development,High Speed Rail West Kowloon Terminus Development Phase 2,-,,100,-,603000,-,-,-,603000,603000,#DIV/0!
,FY2026/27 Projects Under Development,Tseung Kwan O Town Lot No. 131 Phase 2,MEGA IDC,,74,-,-,-,-,507000,507000,375180,#DIV/0!
,FY2026/27 Projects Under Development,"Fanling Sheung Shui Town Lot No. 279, Kwu Tung Phase 1",-,,100,"3,17,000","1,32,000",-,-,-,"4,49,000",449000,#DIV/0!
,FY2026/27 Projects Under Development,Tin Wing Stop Development Phase 2,YOHO WEST JV,,100,"2,34,000",-,-,-,-,"2,34,000",234000,#DIV/0!
,FY2026/27 Projects Under Development,"13–23 Wang Wo Tsai Street, Tsuen Wan",-,,100,"2,01,000",-,-,-,-,"2,01,000",201000,#DIV/0!
,FY2026/27 Projects Under Development,New Kowloon Inland Lot No. 6551 Phase 2B,Cullinan Harbour,,100,"1,86,000",-,-,-,-,"1,86,000",186000,#DIV/0!
,FY2027/28 post Projects Under Development,"Tai Po Town Lot No. 253, Sai Sha subsequent phases",-,,100,"39,50,000","73,000",-,-,-,"40,23,000",4023000,#DIV/0!
,FY2027/28 post Projects Under Development,"Kowloon Inland Lot No. 11273, Mong Kok",-,,100,-,170000,1200000,-,-,"13,70,000",1370000,#DIV/0!
,FY2027/28 post Projects Under Development,"Lot No. 4354 in DD 124, Kiu Tau Wai, Yuen Long",-,,100,-,490000,366000,-,-,"8,56,000",856000,#DIV/0!
,FY2027/28 post Projects Under Development,"Lot No. 1696 DD 115, Tung Shing Lei, Yuen Long",-,,100,"7,57,000","19,000",-,-,-,"7,76,000",776000,#DIV/0!
,FY2027/28 post Projects Under Development,"Fanling Sheung Shui Town Lot No. 279, Kwu Tung subsequent phases",-,,100,"6,82,000",,-,-,-,"6,82,000",682000,#DIV/0!
,FY2027/28 post Projects Under Development,"Sha Tin Town Lot No. 537, Heung Fan Liu, Sha Tin",-,,100,"5,21,000",-,-,-,-,"5,21,000",521000,#DIV/0!
,FY2027/28 post Projects Under Development,Tuen Mun Town Lot No. 496,-,,75.2,"4,65,000",-,-,-,-,"4,65,000",349680,#DIV/0!
,FY2027/28 post Projects Under Development,"Fanling Sheung Shui Town Lot No. 307, Fanling North",-,,100,"2,59,000","49,000",-,-,-,"3,08,000",308000,#DIV/0!
,FY2027/28 post Projects Under Development,"Lot No. 2091 in DD 105, Shek Wu Wai, Yuen Long",-,,54.5,"2,65,000",-,-,-,-,"2,65,000",144425,#DIV/0!
,FY2027/28 post Projects Under Development,"Lot No. 1071, DD 103, Kam Tin, Yuen Long",-,,100,"2,51,000",-,-,-,-,"2,51,000",251000,#DIV/0!
,FY2027/28 post Projects Under Development,"Lot No. 2579 in DD 92, Kwu Tung",-,,100,"1,62,000",-,-,-,-,"1,62,000",162000,#DIV/0!
,FY2027/28 post Projects Under Development,"Sha Tin Town Lot No. 623, Siu Lek Yuen, Sha Tin",,,100,"1,57,000",-,-,-,-,"1,57,000",157000,#DIV/0!
,FY2027/28 post Projects Under Development,"Lot No. 4805 in DD 104, Yuen Long",,,100,"1,39,000",-,-,-,-,"1,39,000",139000,#DIV/0!
,FY2027/28 post Projects Under Development,"Lot No. 1077 in Survey District No. 3, off Anderson Road, Kwun Tong 100 Others Total for Major Projects Scheduled for Completion in FY2027/28 or",,,100,-,"1,10,000",-,-,-,"1,10,000",110000,#DIV/0!
,FY2027/28 post Projects Under Development,Others,,,100,"4,52,000","29,000",-,-,125000,"6,06,000",606000,#DIV/0!
,,,,,,,,,,,,42236158,#DIV/0!
