station_id,theta_ols,kappa_ols,sigma_ols,theta_mle,kappa_mle,sigma_mle,mle_2_mu,mle_2_eta,mle_2_sigma_sq
Station1005,0.6030076116978873,0.28928175968939007,0.15581986033594347,0.6029229726057146,0.28925411139039625,0.5767927134677922,0.6030076116968675,0.2892817581509012,0.33273879596847067
Station1010,0.6483147050814503,1.2007301764071237,0.2727551195256894,0.6482878820981242,1.200664318797581,0.9130424872852844,0.6483517723091754,1.0,0.8121767082448065
Station1011,1.297846424478265,0.011586599410404703,0.06679491668283281,1.2850368141873172,0.011345009576146486,0.14787234600105603,1.297842299685683,0.011584354997306482,0.022163733197296472
Station1012,1.0550120997604235,0.9352685887893224,0.35002602901030067,1.0549623203365501,0.9352041511701146,1.243027613799404,1.0550120997451924,0.9352688290960336,1.545198855044374
Station1013,0.5266406581524347,1.3364251494474069,0.31217206840177364,0.5266205993101142,1.3363863166808165,1.0326357153437087,0.5266476361699094,1.0,1.025949453170135
Station1016,0.4639298892988934,0.20329303464426673,0.12418058721932271,0.46382291906848067,0.20326862696801223,0.4277962278849272,0.4639298892988926,0.20329307728765902,0.18305362832758848
Station1017,0.7948429035752976,0.6995823074169283,0.2823887696968251,0.7947854976166395,0.699526586213105,0.9375139044155777,0.7948429035752967,0.6995825349972188,0.8790020284185306
Station3000,3.8396019435046083,0.014812262849517793,0.22638133907024705,3.813878292613937,0.014631686212205178,0.53267944954354,3.839603320810431,0.014806766480660972,0.28622217879281864
Station3002,3.9968848545577798,,,3.670642208042655,0.008408714516861917,0.42385893361344046,4.0,1.0,20.643636363636368
Station3003,5.387295825098485,0.039651891490533976,1.195832420026135,5.344226291223229,0.03914141992458481,1.6588266677011232,5.354098360655747,1.0,70.09873689867675
Station6001,3.49302941476283,1.5390836183869574,1.1813609629611121,3.4929559345495087,1.5390299249058998,4.896829758222364,3.4917168930678217,1.0,23.203842640829777
Station6002,11.62061361988328,0.17814814702472145,0.9545657356450062,11.61951176914795,0.17812017188584933,5.473022854807261,11.62061361980659,0.17814815163806932,29.956962513294496
Station6003,2.1320304339513827,3.6473001489953405,1.6325711337884579,2.132000864325792,3.64723747753958,5.418040101111405,2.1315267706536853,1.0,27.027701008412336
Station6004,3.366196725959397,0.41622233446251333,0.8264582302600468,3.3657410979340154,0.41613536910043597,2.5997818176920187,3.3661967250577045,0.41622222799368463,6.759916829051638
Station6005,3.374755660368121,0.5359323492279728,1.047915392570504,3.3744794813100136,0.5358907682774723,3.7345297517961566,3.3747556602428626,0.535932329259945,13.947935957065857
Station6006,7.058216122830824,0.017829859893248815,0.15707660182457855,7.055597094748499,0.017824663222655402,4.433819361154874,7.007512871198303,0.018064105722202288,19.678146854510906
Station6007,5.197268455341117,1.0834340973451309,2.1178922435767897,5.197122481111983,1.0834111332664305,9.053606318033983,5.197236397888266,1.0,81.32947498845816
Station6008,7.219042916020209,0.0038612792886259907,0.1030614243660312,7.156079526038269,0.0037979017801013895,0.44993037540037667,7.218648746414338,0.0038587297209770922,0.20410705738575113
Station6009,7.0672827672286544,0.2724149374591824,1.0871500937267131,7.066774024825245,0.2723984405159599,5.789064481810061,7.067282764117494,0.2724148322049553,33.515747823976405
