District_ID,Neighbor_ID,Weight
0,1,0.05263157894736842
0,2,0.05263157894736842
0,3,0.05263157894736842
0,4,0.05263157894736842
0,6,0.05263157894736842
0,7,0.05263157894736842
0,8,0.05263157894736842
0,9,0.05263157894736842
0,10,0.05263157894736842
0,11,0.05263157894736842
0,12,0.05263157894736842
0,13,0.05263157894736842
0,14,0.05263157894736842
0,16,0.05263157894736842
0,17,0.05263157894736842
0,18,0.05263157894736842
0,19,0.05263157894736842
0,20,0.05263157894736842
0,21,0.05263157894736842
1,0,0.07692307692307693
1,2,0.07692307692307693
1,5,0.07692307692307693
1,6,0.07692307692307693
1,7,0.07692307692307693
1,9,0.07692307692307693
1,10,0.07692307692307693
1,11,0.07692307692307693
1,12,0.07692307692307693
1,13,0.07692307692307693
1,14,0.07692307692307693
1,17,0.07692307692307693
1,18,0.07692307692307693
2,0,0.08333333333333333
2,1,0.08333333333333333
2,4,0.08333333333333333
2,5,0.08333333333333333
2,6,0.08333333333333333
2,7,0.08333333333333333
2,8,0.08333333333333333
2,9,0.08333333333333333
2,10,0.08333333333333333
2,12,0.08333333333333333
2,14,0.08333333333333333
2,18,0.08333333333333333
3,0,0.14285714285714285
3,16,0.14285714285714285
3,18,0.14285714285714285
3,19,0.14285714285714285
3,20,0.14285714285714285
3,21,0.14285714285714285
3,8,0.14285714285714285
4,0,0.14285714285714285
4,2,0.14285714285714285
4,18,0.14285714285714285
4,5,0.14285714285714285
4,6,0.14285714285714285
4,7,0.14285714285714285
4,8,0.14285714285714285
5,1,0.16666666666666666
5,2,0.16666666666666666
5,4,0.16666666666666666
5,6,0.16666666666666666
5,7,0.16666666666666666
5,9,0.16666666666666666
6,0,0.125
6,1,0.125
6,2,0.125
6,4,0.125
6,5,0.125
6,8,0.125
6,9,0.125
6,14,0.125
7,0,0.1111111111111111
7,1,0.1111111111111111
7,2,0.1111111111111111
7,4,0.1111111111111111
7,5,0.1111111111111111
7,9,0.1111111111111111
7,10,0.1111111111111111
7,12,0.1111111111111111
7,18,0.1111111111111111
8,0,0.1111111111111111
8,2,0.1111111111111111
8,3,0.1111111111111111
8,4,0.1111111111111111
8,6,0.1111111111111111
8,14,0.1111111111111111
8,15,0.1111111111111111
8,16,0.1111111111111111
8,18,0.1111111111111111
9,0,0.1111111111111111
9,1,0.1111111111111111
9,2,0.1111111111111111
9,5,0.1111111111111111
9,6,0.1111111111111111
9,7,0.1111111111111111
9,11,0.1111111111111111
9,12,0.1111111111111111
9,14,0.1111111111111111
10,0,0.14285714285714285
10,1,0.14285714285714285
10,2,0.14285714285714285
10,18,0.14285714285714285
10,7,0.14285714285714285
10,12,0.14285714285714285
10,13,0.14285714285714285
11,0,0.16666666666666666
11,1,0.16666666666666666
11,17,0.16666666666666666
11,9,0.16666666666666666
11,12,0.16666666666666666
11,14,0.16666666666666666
12,0,0.1111111111111111
12,1,0.1111111111111111
12,2,0.1111111111111111
12,7,0.1111111111111111
12,9,0.1111111111111111
12,10,0.1111111111111111
12,11,0.1111111111111111
12,13,0.1111111111111111
12,17,0.1111111111111111
13,0,0.16666666666666666
13,1,0.16666666666666666
13,17,0.16666666666666666
13,18,0.16666666666666666
13,10,0.16666666666666666
13,12,0.16666666666666666
14,0,0.1111111111111111
14,1,0.1111111111111111
14,2,0.1111111111111111
14,6,0.1111111111111111
14,8,0.1111111111111111
14,9,0.1111111111111111
14,11,0.1111111111111111
14,15,0.1111111111111111
14,17,0.1111111111111111
15,16,0.16666666666666666
15,17,0.16666666666666666
15,19,0.16666666666666666
15,20,0.16666666666666666
15,8,0.16666666666666666
15,14,0.16666666666666666
16,0,0.2
16,19,0.2
16,3,0.2
16,8,0.2
16,15,0.2
17,0,0.1111111111111111
17,1,0.1111111111111111
17,11,0.1111111111111111
17,12,0.1111111111111111
17,13,0.1111111111111111
17,14,0.1111111111111111
17,15,0.1111111111111111
17,18,0.1111111111111111
17,20,0.1111111111111111
18,0,0.09090909090909091
18,1,0.09090909090909091
18,2,0.09090909090909091
18,3,0.09090909090909091
18,4,0.09090909090909091
18,7,0.09090909090909091
18,8,0.09090909090909091
18,10,0.09090909090909091
18,13,0.09090909090909091
18,17,0.09090909090909091
18,20,0.09090909090909091
19,0,0.16666666666666666
19,16,0.16666666666666666
19,3,0.16666666666666666
19,20,0.16666666666666666
19,21,0.16666666666666666
19,15,0.16666666666666666
20,0,0.14285714285714285
20,17,0.14285714285714285
20,18,0.14285714285714285
20,3,0.14285714285714285
20,19,0.14285714285714285
20,21,0.14285714285714285
20,15,0.14285714285714285
21,0,0.25
21,19,0.25
21,3,0.25
21,20,0.25
