station,mean,std,kurtosis,skewness,ks_stat,ks_pval,jb_stat,jb_pval
6108,25.79,4.67,2.37,-0.37,0.09,0.00,831.01,0.00
6109,23.25,5.30,1.90,0.00,0.10,0.00,267.13,0.00
6110,26.13,3.64,4.97,-0.86,0.05,0.00,1948.89,0.00
6111,23.12,1.81,9.25,-2.33,0.35,0.00,50364.61,0.00
6112,24.75,5.00,2.87,-0.62,0.07,0.00,1638.79,0.00
6115,24.86,3.99,3.31,-1.03,0.17,0.00,3432.69,0.00
6116,25.35,4.29,2.27,-0.55,0.13,0.00,1035.89,0.00
6117,24.91,5.44,2.80,-0.64,0.10,0.00,1484.99,0.00
6119,24.39,1.80,4.25,1.03,0.31,0.00,1679.00,0.00
6120,15.17,5.71,2.87,-0.84,0.12,0.00,754.86,0.00
6121,24.31,4.88,2.87,-0.46,0.08,0.00,706.01,0.00
6123,25.45,4.40,3.07,-0.65,0.12,0.00,754.84,0.00
6124,23.94,5.07,2.36,-0.32,0.08,0.00,633.58,0.00
6125,26.03,4.31,2.34,-0.74,0.24,0.00,328.45,0.00
6126,24.03,4.61,2.89,-0.47,0.05,0.00,532.89,0.00
6127,24.09,5.16,2.49,-0.43,0.08,0.00,570.37,0.00
6128,22.45,1.17,1.95,0.16,0.06,0.00,173.27,0.00
6129,25.10,5.27,2.51,-0.56,0.09,0.00,738.28,0.00
6130,27.34,3.48,6.65,-1.39,0.12,0.00,5986.91,0.00
6131,24.33,4.98,2.67,-0.47,0.07,0.00,418.59,0.00
6132,24.31,5.32,2.39,-0.33,0.07,0.00,315.95,0.00
6133,23.63,5.31,2.51,-0.52,0.09,0.00,589.31,0.00
6134,24.23,5.26,2.69,-0.59,0.11,0.00,539.22,0.00
6135,24.31,5.55,3.08,-0.73,0.11,0.00,728.54,0.00
6136,24.47,5.45,2.79,-0.59,0.08,0.00,483.56,0.00
6138,24.98,5.19,2.47,-0.49,0.10,0.00,353.85,0.00
6139,20.49,4.70,2.50,0.08,0.02,0.00,74.47,0.00
6142,24.96,5.26,2.55,-0.54,0.10,0.00,261.05,0.00
6143,23.90,5.20,2.58,-0.45,0.06,0.00,213.87,0.00
6144,19.94,4.50,2.58,-0.33,0.06,0.00,62.31,0.00
6147,19.72,4.69,2.80,-0.66,0.09,0.00,47.03,0.00
6149,21.69,2.51,2.59,0.87,0.23,0.10,3.73,0.15
6993,29.10,0.00,,,0.50,0.00,,
6994,26.36,0.54,1.71,-0.11,0.08,0.00,142.15,0.00
6995,19.79,1.88,3.09,0.12,0.08,0.85,0.15,0.93
6997,29.64,6.50,5.75,0.79,0.12,0.00,1989.32,0.00
6998,22.22,7.10,37.78,5.31,0.31,0.00,2146098.71,0.00
6999,24.68,6.20,15.06,0.83,0.08,0.00,225425.06,0.00
9901,18.12,2.69,3.00,0.53,0.08,0.00,33.59,0.00
9905,24.81,5.01,2.36,-0.39,0.09,0.00,556.23,0.00
9913,24.38,4.91,2.21,-0.32,0.09,0.00,511.58,0.00
